Immigracions procedents de la resta d'Espanya
Catalunya. 
Valor
"Font: Idescat, a partir de l'Estadística de variacions residencials de l'INE."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=10348&col=1
,De 0 a 14 anys,De 15 a 29 anys,De 30 a 44 anys,De 45 a 59 anys,De 60 a 74 anys,De 75 anys i més,Total
2017,5949,15988,18938,6851,2843,1967,52536
2016,6149,14808,18539,6685,2849,2162,51192
2015,6583,15438,20289,7250,2870,2324,54754
2014,6796,15580,19973,6857,2817,2316,54339
2013,6522,14949,19072,6289,2943,2430,52205
2012,6468,15759,19237,6405,3287,2831,53987
2011,6672,18183,20533,6581,3632,2961,58562
2010,6559,19249,20764,6112,2924,2693,58301
2009,6969,20080,20649,5693,2560,2542,58493
2008,6777,21923,21539,5738,2480,2614,61071
2007,6514,22055,21110,5720,2548,2695,60642
2006,5883,19872,18438,5011,2280,2423,53907
2005,5560,19383,17322,4474,2223,2471,51433
2004,5939,20129,17678,4558,2099,2214,52617
2003,5667,18827,15958,4255,2356,2849,49912
2002,5195,16900,14345,3580,1859,2036,43915
2001,3616,12202,9537,2543,1629,1601,31128
2000,4160,11449,8638,2555,1733,1716,30251
1999,3769,9961,7457,2337,1788,1551,26863
1998,3710,9543,6231,2053,1623,1373,24533
1997,3352,8367,5176,1724,1338,1270,21227
1995,3780,9244,5497,1946,1499,1089,23055
1993,3640,9441,4675,1543,1236,870,21405
Emigracions amb destinació a la resta d'Espanya
Catalunya. 
Valor
"Font: Idescat, a partir de l'Estadística de variacions residencials de l'INE."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=10348&col=1
,De 0 a 14 anys,De 15 a 29 anys,De 30 a 44 anys,De 45 a 59 anys,De 60 a 74 anys,De 75 anys i més,Total
2017,6126,11130,16293,7377,4987,2407,48320
2016,6174,11151,16408,7218,4105,2247,47303
2015,6499,11523,17821,7339,4085,2384,49651
2014,6952,12121,18165,7539,3994,2155,50926
2013,7409,13464,18742,7277,3869,2141,52902
2012,8145,15570,20594,7331,3898,2104,57642
2011,7862,16605,21150,7329,3715,2083,58744
2010,8021,17118,20637,7233,4033,2040,59082
2009,8200,18590,21089,7145,4075,2221,61320
2008,9202,20156,22322,7344,4036,2093,65153
2007,10039,22049,23982,8268,4642,2303,71283
2006,9671,19455,21861,7769,4858,2055,65669
2005,8388,19670,20356,6884,4146,1765,61209
2004,7785,17931,18031,6208,3935,1715,55605
2003,6739,16099,15142,5535,3742,1638,48895
2002,6183,13607,12981,4563,3469,1563,42366
2001,4296,9472,8512,3397,2798,1195,29670
2000,4565,8952,8006,3637,2911,1260,29331
1999,4479,8695,7685,3515,3019,1207,28600
1998,4314,8390,6969,3406,3088,1262,27429
1997,4141,7687,6203,2938,2605,939,24513
1995,4660,8348,6577,3281,2758,899,26523
1993,5646,9194,6506,3034,2474,767,27621

