"Emigracions amb destinació a la resta d'Espanya. Per sexe, grups d'edat i lloc de naixement."
Catalunya. 2017
"Font: Idescat, a partir de l'Estadística de variacions residencials de l'INE."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=mm&n=6384
,De 0 a 14 anys,De 15 a 29 anys,De 30 a 34 anys,De 5 a 44 anys,De 45 a 59 anys,De 60 anys i més,Total
Homes,3181,5354,3267,5673,4080,3537,25092
nascuts a Catalunya,1867,1580,757,1501,1099,586,7390
nascuts a la resta d'Espanya,843,1340,1016,1534,1306,2545,8584
nascuts a l'estranger,471,2434,1494,2638,1675,406,9118
Dones,2945,5776,3037,4316,3297,3857,23228
nascudes a Catalunya,1684,1889,711,1100,854,546,6784
nascudes a la resta d'Espanya,827,1363,1047,1366,1190,2823,8616
nascudes a l'estranger,434,2524,1279,1850,1253,488,7828
Total,6126,11130,6304,9989,7377,7394,48320
nascuts a Catalunya,3551,3469,1468,2601,1953,1132,14174
nascuts a la resta d'Espanya,1670,2703,2063,2900,2496,5368,17200
nascuts a l'estranger,905,4958,2773,4488,2928,894,16946

