"Immigracions externes. Per sexe, grups d'edat i lloc de naixement."
Catalunya. 2017
"Font: Idescat, a partir de l'Estadística de variacions residencials de l'INE."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=mm&n=6386
,De 0 a 14 anys,De 15 a 29 anys,De 30 a 34 anys,De 35 a 44 anys,De 45 a 59 anys,De 60 anys i més,Total
Homes,10567,29218,11307,14717,8952,3534,78295
nascuts a Catalunya,1504,443,316,635,397,201,3496
nascuts a la resta d'Espanya,164,117,122,184,148,204,939
nascuts a l'estranger,8899,28658,10869,13898,8407,3129,73860
Dones,9828,29172,9751,11629,8351,4852,73583
nascudes a Catalunya,1399,467,337,519,274,136,3132
nascudes a la resta d'Espanya,178,117,104,129,92,223,843
nascudes a l'estranger,8251,28588,9310,10981,7985,4493,69608
Total,20395,58390,21058,26346,17303,8386,151878
nascuts a Catalunya,2903,910,653,1154,671,337,6628
nascuts a la resta d'Espanya,342,234,226,313,240,427,1782
nascuts a l'estranger,17150,57246,20179,24879,16392,7622,143468

