"Immigracions externes. Per grups d'edat, nacionalitat i lloc de naixement."
Catalunya. 2017
"Font: Idescat, a partir de l'Estadística de variacions residencials de l'INE."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=mm&n=6389
,De 0 a 14 anys,De 15 a 29 anys,De 30 a 34 anys,De 35 a 44 anys,De 45 a 59 anys,De 60 anys i més,Total
Espanyola,3736,4393,1575,2648,2170,1213,15735
nascuts a Catalunya,1239,800,634,1126,639,308,4746
nascuts a la resta d'Espanya,137,192,221,306,233,394,1483
nascuts a l'estranger,2360,3401,720,1216,1298,511,9506
Estrangera,16659,53997,19483,23698,15133,7173,136143
nascudes a Catalunya,1664,110,19,28,32,29,1882
nascudes a la resta d'Espanya,205,42,5,7,7,33,299
nascudes a l'estranger,14790,53845,19459,23663,15094,7111,133962
Total,20395,58390,21058,26346,17303,8386,151878
nascuts a Catalunya,2903,910,653,1154,671,337,6628
nascuts a la resta d'Espanya,342,234,226,313,240,427,1782
nascuts a l'estranger,17150,57246,20179,24879,16392,7622,143468

