Taula de vida completa. Tots dos sexes
Catalunya. 2013-2017
Font: Idescat.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=iev&n=8661&lang=en
;nPx;nDx;nMx;nqx;nax;lx;ndx;nLx;Tx;ex
0;71270;176;0,00246;0,00246;0,10;100000;246;99778;8323267;83,23
1;74265;16;0,00022;0,00022;0,42;99754;22;99741;8223489;82,44
2;76584;8;0,00010;0,00010;0,47;99732;10;99727;8123748;81,46
3;79021;8;0,00010;0,00010;0,41;99723;10;99717;8024020;80,46
4;81586;6;0,00008;0,00008;0,50;99712;8;99709;7924304;79,47
5;83673;6;0,00007;0,00007;0,53;99705;7;99702;7824595;78,48
6;84410;6;0,00008;0,00008;0,50;99698;8;99694;7724893;77,48
7;84406;4;0,00005;0,00005;0,57;99691;5;99689;7625199;76,49
8;83948;8;0,00009;0,00009;0,55;99686;9;99682;7525510;75,49
9;82598;8;0,00010;0,00010;0,46;99677;10;99671;7425829;74,50
10;80684;6;0,00007;0,00007;0,49;99666;7;99663;7326158;73,51
11;78728;6;0,00008;0,00008;0,46;99659;8;99655;7226495;72,51
12;76857;8;0,00010;0,00010;0,49;99651;10;99646;7126840;71,52
13;75087;5;0,00007;0,00007;0,44;99642;7;99638;7027193;70,52
14;73143;8;0,00010;0,00010;0,49;99634;10;99629;6927556;69,53
15;71595;8;0,00012;0,00012;0,52;99624;12;99618;6827927;68,54
16;70433;11;0,00015;0,00015;0,47;99612;15;99604;6728308;67,54
17;69256;11;0,00016;0,00016;0,53;99597;16;99590;6628704;66,56
18;68651;14;0,00021;0,00021;0,53;99582;21;99572;6529114;65,57
19;68786;17;0,00024;0,00024;0,50;99561;24;99549;6429542;64,58
20;69467;19;0,00027;0,00027;0,53;99537;27;99524;6329993;63,59
21;70491;15;0,00021;0,00021;0,48;99510;21;99499;6230469;62,61
22;71853;20;0,00028;0,00028;0,52;99489;28;99476;6130970;61,62
23;73678;19;0,00026;0,00026;0,49;99461;26;99448;6031494;60,64
24;75749;21;0,00028;0,00028;0,47;99436;28;99421;5932045;59,66
25;77872;20;0,00026;0,00026;0,52;99408;26;99396;5832625;58,67
26;80090;24;0,00030;0,00030;0,49;99382;30;99367;5733229;57,69
27;82752;22;0,00027;0,00027;0,54;99353;27;99340;5633862;56,71
28;85743;25;0,00029;0,00029;0,51;99326;29;99312;5534522;55,72
29;89081;32;0,00036;0,00036;0,47;99297;36;99278;5435210;54,74
30;93072;32;0,00035;0,00035;0,52;99261;34;99244;5335932;53,76
31;97774;33;0,00034;0,00034;0,47;99227;34;99208;5236688;52,78
32;103032;34;0,00033;0,00033;0,49;99193;33;99176;5137479;51,79
33;108561;45;0,00042;0,00042;0,46;99160;41;99138;5038303;50,81
34;114443;48;0,00042;0,00042;0,50;99119;41;99098;4939166;49,83
35;120295;47;0,00039;0,00039;0,50;99077;39;99058;4840068;48,85
36;125531;60;0,00048;0,00048;0,49;99039;47;99014;4741010;47,87
37;129686;64;0,00049;0,00049;0,51;98991;49;98968;4641996;46,89
38;132618;73;0,00055;0,00055;0,50;98942;54;98915;4543028;45,92
39;133653;84;0,00063;0,00063;0,49;98888;62;98856;4444113;44,94
40;133067;87;0,00066;0,00066;0,49;98826;65;98793;4345257;43,97
41;131492;99;0,00075;0,00075;0,49;98761;74;98723;4246464;43,00
42;129092;113;0,00087;0,00087;0,50;98686;86;98644;4147741;42,03
43;126140;121;0,00096;0,00096;0,50;98600;95;98553;4049097;41,07
