Taula de vida completa. Tots dos sexes
Catalunya. 2012-2016
Font: Idescat.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=iev&n=8661&t=201400&lang=en
;nPx;nDx;nMx;nqx;nax;lx;ndx;nLx;Tx;ex
0;73510;190;0,00259;0,00258;0,10;100000;258;99767;8306210;83,06
1;76706;17;0,00022;0,00022;0,42;99742;22;99729;8206443;82,28
2;78872;8;0,00011;0,00011;0,44;99720;11;99714;8106714;81,29
3;81690;8;0,00010;0,00010;0,46;99710;10;99704;8007000;80,30
4;83814;7;0,00009;0,00009;0,54;99700;9;99696;7907295;79,31
5;84608;7;0,00009;0,00009;0,54;99691;9;99687;7807599;78,32
6;84592;6;0,00007;0,00007;0,51;99683;7;99679;7707912;77,32
7;84018;4;0,00005;0,00005;0,54;99676;5;99674;7608233;76,33
8;82685;7;0,00008;0,00008;0,53;99671;8;99667;7508559;75,33
9;80707;10;0,00012;0,00012;0,49;99663;12;99657;7408892;74,34
10;78696;5;0,00007;0,00007;0,51;99651;7;99648;7309235;73,35
11;76795;7;0,00009;0,00009;0,49;99644;9;99640;7209587;72,35
12;74950;7;0,00010;0,00010;0,48;99636;10;99631;7109947;71,36
13;72981;5;0,00007;0,00007;0,46;99626;7;99623;7010316;70,37
14;71382;8;0,00011;0,00011;0,51;99620;11;99615;6910694;69,37
15;70135;9;0,00012;0,00012;0,53;99609;12;99603;6811079;68,38
16;68835;11;0,00015;0,00015;0,47;99597;15;99589;6711476;67,39
17;67808;10;0,00014;0,00014;0,50;99582;14;99575;6611887;66,40
18;67857;14;0,00020;0,00020;0,49;99567;20;99557;6512313;65,41
19;68445;16;0,00024;0,00024;0,50;99547;24;99535;6412755;64,42
20;69303;19;0,00027;0,00027;0,50;99523;27;99510;6313220;63,43
21;70611;16;0,00023;0,00023;0,47;99496;23;99484;6213710;62,45
22;72200;20;0,00028;0,00028;0,51;99474;28;99460;6114226;61,47
23;74172;20;0,00027;0,00027;0,48;99445;27;99431;6014766;60,48
24;76311;22;0,00029;0,00029;0,47;99418;28;99403;5915335;59,50
25;78761;21;0,00027;0,00027;0,49;99390;27;99376;5815932;58,52
26;81750;25;0,00030;0,00030;0,47;99363;30;99347;5716556;57,53
27;85131;24;0,00028;0,00028;0,52;99333;28;99320;5617209;56,55
28;88718;26;0,00029;0,00029;0,52;99306;29;99292;5517889;55,56
29;92999;34;0,00036;0,00036;0,45;99276;36;99257;5418597;54,58
30;98071;34;0,00034;0,00034;0,51;99240;34;99224;5319341;53,60
31;103494;36;0,00035;0,00035;0,43;99206;35;99187;5220117;52,62
32;109246;39;0,00036;0,00036;0,49;99172;36;99153;5120930;51,64
33;115280;46;0,00040;0,00040;0,47;99136;40;99115;5021777;50,66
34;121155;54;0,00045;0,00045;0,50;99096;44;99074;4922662;49,68
35;126336;53;0,00042;0,00042;0,51;99052;42;99032;4823588;48,70
36;130636;63;0,00048;0,00048;0,50;99010;48;98987;4724556;47,72
37;133560;68;0,00051;0,00051;0,51;98963;50;98938;4625570;46,74
38;134667;76;0,00057;0,00057;0,49;98913;56;98884;4526631;45,76
39;133999;87;0,00065;0,00065;0,50;98857;64;98825;4427748;44,79
40;132370;89;0,00067;0,00067;0,48;98792;66;98758;4328923;43,82
41;129962;103;0,00079;0,00079;0,49;98726;78;98686;4230165;42,85
42;127000;111;0,00088;0,00088;0,50;98648;86;98605;4131478;41,88
43;124054;128;0,00103;0,00103;0,49;98562;101;98510;4032873;40,92
44;121519;153;0,00126;0,00125;0,48;98460;124;98396;3934363;39,96
45;119386;158;0,00133;0,00133;0,48;98337;130;98269;3835967;39,01
