y1991;y1992;y1993;y1994;y1995;y1996;y1997;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009
794;776;727;653;576;624;553;515;484;470;435;457;429;442;424;405;374;379;337
73;69;63;55;53;50;45;36;48;45;38;37;41;33;34;32;31;28;30
46;42;38;38;33;46;33;35;20;28;26;26;30;25;22;19;20;18;19
29;38;33;37;27;35;28;22;16;22;23;23;24;19;18;17;20;13;21
26;27;26;31;28;28;26;19;18;16;20;18;14;11;20;12;12;11;15
27;22;17;23;18;17;20;27;20;19;17;13;13;13;13;14;10;21;14
26;23;25;22;22;25;21;19;23;19;14;19;16;11;13;15;10;9;10
23;24;21;25;22;22;15;16;16;16;12;17;15;11;12;15;12;14;8
20;18;26;22;20;17;11;22;12;16;17;13;15;17;10;20;12;12;6
23;19;17;17;16;17;13;19;17;15;15;10;14;11;11;11;10;10;9
28;18;24;18;16;13;15;13;19;15;18;12;13;17;11;12;12;9;10
20;22;20;13;18;25;19;20;20;13;12;13;13;14;15;7;10;12;13
22;22;18;20;19;20;16;15;14;14;16;14;22;15;15;17;15;8;14
34;23;30;23;21;22;23;19;23;19;17;20;20;18;15;19;16;16;16
33;28;34;31;31;31;27;30;24;32;23;28;22;24;22;15;24;19;13
48;40;39;35;33;34;34;36;36;35;30;34;33;33;32;33;32;24;22
75;65;50;47;59;46;53;50;48;52;48;46;45;39;46;43;39;37;25
85;75;67;61;62;71;62;66;64;70;63;52;62;59;56;44;49;48;33
106;91;87;68;71;72;74;81;80;70;59;61;71;67;60;61;58;50;55
124;110;102;85;87;78;85;64;80;74;79;70;72;63;79;56;62;56;39
144;124;107;97;87;78;82;87;89;86;86;85;84;70;71;67;61;53;36
143;125;109;106;91;93;80;91;88;87;76;81;77;66;71;67;49;51;45
164;140;109;99;95;100;88;94;88;82;85;88;77;72;70;66;59;51;45
161;139;122;117;118;102;85;96;89;86;77;79;82;74;72;56;62;57;47
161;155;133;114;117;107;89;94;84;94;78;76;78;69;65;61;61;64;50
190;163;143;135;133;112;109;97;90;93;79;73;84;76;75;64;63;55;56
182;176;167;149;137;123;92;97;92;98;81;86;74;71;62;69;69;51;59
185;191;167;170;169;131;128;114;99;91;83;88;81;78;75;63;61;63;52
199;191;191;171;181;155;127;114;108;108;91;86;77;87;64;61;65;63;58
212;217;192;217;194;202;143;120;118;102;94;94;94;78;73;66;65;62;56
213;230;213;225;212;209;157;137;120;105;105;100;97;81;73;79;69;60;55
207;224;210;218;227;223;160;145;120;121;113;103;106;93;88;79;72;65;63
203;210;219;226;239;235;175;151;138;128;118;111;112;90;100;79;66;69;60
191;215;219;225;253;213;192;164;154;134;134;119;118;107;93;77;79;74;66
188;195;212;230;253;255;183;150;157;136;136;134;131;108;103;93;87;81;79
197;199;200;214;250;239;183;165;154;164;147;133;129;123;123;102;97;86;76
196;194;195;210;235;233;189;163;174;168;160;148;137;130;115;113;106;103;89
185;200;210;208;229;241;205;191;174;170;164;160;139;161;136;118;110;106;93
201;202;196;220;209;225;202;191;180;184;184;162;178;156;162;136;128;114;111
215;220;216;225;214;230;213;191;214;186;196;187;174;186;160;161;148;126;113
222;240;232;217;244;235;215;197;204;218;207;195;191;170;186;160;166;151;140
224;225;228;230;235;254;235;222;217;213;206;211;214;191;194;165;182;158;152
253;247;240;263;232;240;233;222;225;240;213;222;229;205;205;197;215;177;163
277;283;264;251;286;288;240;249;267;256;239;249;253;219;204;218;223;206;176
281;284;300;292;264;267;285;265;272;278;251;268;264;253;250;242;220;222;196
315;285;359;345;324;295;307;289;304;292;273;288;285;292;268;244;250;251;243
367;345;320;372;353;328;321;301;318;296;291;305;295;304;286;286;259;264;248
402;382;367;344;384;365;332;315;349;368;335;340;318;336;318;297;302;307;283
396;403;409;419;363;397;377;371;369;362;359;373;377;370;334;352;321;315;299
409;437;465;417;435;406;459;435;394;385;408;392;373;377;367;348;355;367;339
487;437;453;464;473;460;422;450;446;446;424;427;422;428;421;399;388;405;373
540;523;441;480;492;510;500;438;485;475;433;430;450;480;438;441;402;415;400
453;572;553;463;516;560;525;517;502;534;533;465;478;490;503;474;465;464;429
605;529;633;629;514;578;585;559;560;512;579;543;514;512;503;527;510;489;472
715;634;581;637;648;548;590;622;624;588;555;638;606;537;569;572;582;534;546
740;741;681;592;697;692;585;653;694;632;663;544;663;620;587;578;585;572;559
763;828;803;740;644;769;731;621;700;729;677;676;619;713;674;649;616;599;633
875;807;816;828;770;667;785;791;713;737;815;736;747;649;742;712;672;641;684
942;894;856;879;945;834;724;843;856;697;802;833;812;735;701;787;785;729;682
1014;992;963;918;960;1003;850;764;930;899;744;854;880;837;857;768;808;781;749
1059;1053;1063;987;1011;1046;1031;954;857;947;976;850;924;916;925;905;846;911;842
1148;1147;1101;1110;1061;1047;1068;1119;1020;877;994;1043;882;931;963;923;934;845;912
1222;1247;1203;1149;1199;1125;1111;1189;1150;1049;917;1090;1096;838;1013;1030;960;998;922
1330;1331;1280;1269;1261;1259;1203;1185;1290;1248;1152;979;1182;1113;942;1029;1082;1035;1015
1492;1426;1439;1375;1373;1301;1347;1326;1269;1337;1350;1194;1037;1238;1200;1019;1149;1097;1083
1550;1502;1469;1466;1499;1422;1413;1443;1408;1382;1376;1400;1287;1096;1304;1297;1037;1164;1249
1633;1575;1667;1583;1527;1541;1561;1490;1624;1444;1391;1460;1462;1380;1163;1333;1368;1103;1253
