y1991;y1992;y1993;y1994;y1995;y1996;y1997;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009
100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000
99206;99224;99273;99347;99424;99376;99447;99485;99516;99530;99565;99543;99571;99558;99576;99595;99626;99621;99663
99133;99155;99211;99292;99371;99327;99402;99449;99468;99485;99528;99506;99531;99524;99542;99562;99595;99593;99633
99087;99113;99173;99254;99337;99281;99370;99414;99448;99456;99501;99480;99501;99499;99520;99543;99575;99575;99614
99059;99075;99140;99217;99310;99246;99341;99392;99432;99435;99478;99457;99477;99480;99503;99526;99555;99562;99593
99033;99048;99114;99186;99282;99217;99315;99373;99413;99418;99458;99439;99462;99468;99483;99513;99543;99551;99578
99005;99026;99097;99163;99264;99200;99295;99346;99393;99399;99441;99426;99449;99455;99470;99500;99533;99530;99564
98979;99003;99072;99142;99243;99175;99273;99327;99370;99380;99427;99407;99433;99444;99457;99485;99523;99521;99554
98956;98979;99051;99117;99221;99153;99258;99311;99354;99364;99415;99389;99418;99432;99446;99470;99511;99508;99545
98936;98961;99025;99095;99201;99136;99247;99289;99342;99349;99399;99376;99403;99415;99436;99450;99499;99496;99539
98913;98942;99008;99078;99185;99119;99234;99270;99325;99333;99383;99367;99389;99404;99425;99439;99489;99486;99530
98885;98924;98985;99060;99169;99106;99219;99258;99306;99319;99366;99354;99376;99387;99414;99427;99476;99477;99520
98864;98902;98965;99047;99151;99082;99201;99238;99286;99305;99354;99342;99363;99373;99399;99420;99466;99465;99508
98843;98880;98947;99027;99133;99062;99185;99223;99273;99291;99337;99328;99340;99358;99384;99403;99452;99457;99494
98809;98857;98918;99003;99112;99040;99162;99203;99249;99272;99320;99308;99320;99340;99369;99384;99436;99441;99478
98776;98829;98883;98973;99081;99008;99135;99174;99225;99240;99296;99280;99298;99316;99347;99369;99411;99422;99465
98729;98789;98845;98938;99048;98975;99101;99138;99189;99205;99266;99246;99265;99283;99315;99337;99380;99398;99443
98654;98724;98795;98890;98989;98929;99048;99088;99141;99154;99218;99199;99221;99244;99269;99294;99341;99360;99418
98569;98649;98728;98829;98928;98858;98987;99022;99077;99084;99156;99147;99159;99184;99213;99249;99292;99312;99386
98463;98558;98641;98761;98857;98786;98913;98941;98997;99014;99096;99086;99087;99117;99153;99188;99234;99262;99330
98339;98448;98539;98677;98770;98708;98829;98877;98917;98940;99017;99016;99015;99054;99074;99132;99172;99206;99292
98195;98324;98432;98580;98683;98630;98747;98790;98828;98854;98931;98931;98931;98984;99003;99065;99110;99153;99256
98052;98199;98323;98474;98592;98537;98667;98699;98740;98767;98856;98850;98854;98919;98932;98999;99062;99102;99211
97888;98059;98214;98375;98497;98437;98580;98606;98652;98684;98771;98762;98778;98847;98862;98932;99003;99051;99165
97727;97920;98092;98258;98379;98335;98495;98509;98564;98598;98694;98683;98696;98772;98789;98876;98942;98995;99119
97566;97765;97959;98144;98262;98228;98406;98415;98479;98504;98616;98607;98619;98704;98725;98815;98881;98931;99068
97376;97602;97816;98008;98129;98116;98297;98319;98390;98411;98537;98534;98535;98628;98650;98751;98819;98876;99012
97194;97425;97649;97859;97992;97993;98205;98222;98298;98313;98456;98448;98461;98557;98587;98682;98750;98824;98953
97009;97235;97482;97689;97823;97862;98077;98108;98199;98222;98372;98360;98379;98478;98513;98619;98689;98762;98900
96809;97044;97291;97519;97642;97707;97950;97994;98091;98114;98281;98275;98302;98391;98449;98558;98624;98699;98843
96597;96827;97098;97302;97448;97505;97807;97874;97973;98012;98188;98180;98208;98313;98376;98492;98559;98636;98787
96384;96597;96885;97077;97235;97296;97650;97737;97853;97907;98083;98080;98112;98232;98303;98412;98489;98576;98732
96177;96373;96675;96859;97009;97073;97490;97592;97733;97786;97970;97977;98006;98140;98214;98333;98418;98512;98669
95974;96163;96456;96633;96770;96838;97315;97441;97596;97658;97852;97866;97894;98050;98114;98254;98351;98442;98609
95783;95948;96237;96408;96516;96625;97123;97277;97442;97524;97718;97747;97776;97943;98021;98177;98273;98369;98543
95595;95752;96025;96179;96264;96370;96940;97128;97285;97387;97583;97614;97645;97835;97918;98084;98186;98287;98463
95398;95553;95824;95965;96013;96132;96757;96963;97131;97224;97435;97481;97516;97712;97795;97982;98089;98202;98387
95202;95360;95629;95755;95778;95898;96568;96800;96957;97056;97275;97333;97379;97582;97680;97869;97982;98099;98298
95017;95160;95419;95548;95549;95658;96363;96608;96783;96886;97112;97173;97241;97422;97544;97751;97872;97993;98206
94816;94958;95223;95328;95339;95433;96162;96418;96603;96702;96928;97011;97063;97266;97382;97615;97745;97879;98094
94601;94738;95007;95103;95125;95203;95949;96227;96390;96516;96732;96824;96889;97080;97222;97453;97596;97753;97981
94379;94499;94775;94886;94881;94968;95734;96030;96186;96298;96525;96629;96698;96910;97035;97294;97430;97602;97841
94155;94273;94547;94656;94646;94714;95499;95807;95968;96085;96319;96418;96484;96719;96841;97129;97248;97445;97689
93902;94026;94307;94393;94414;94474;95266;95585;95743;95845;96106;96196;96255;96514;96637;96932;97033;97267;97526
93624;93743;94043;94141;94128;94186;95026;95336;95476;95588;95866;95947;96002;96294;96432;96714;96810;97061;97349
93343;93458;93743;93849;93864;93919;94741;95071;95204;95311;95616;95679;95738;96041;96182;96472;96591;96840;97153
93028;93174;93384;93504;93540;93624;94434;94782;94900;95018;95342;95391;95453;95749;95914;96228;96340;96589;96910
92661;92829;93064;93132;93186;93295;94113;94481;94582;94722;95051;95086;95158;95445;95628;95941;96082;96325;96663
92259;92448;92696;92789;92802;92930;93782;94166;94232;94354;94716;94746;94840;95109;95310;95644;95780;96018;96380
91863;92044;92287;92370;92439;92533;93405;93795;93863;93992;94357;94373;94463;94740;94976;95292;95459;95703;96081
91454;91608;91822;91953;92004;92128;92946;93361;93469;93606;93949;93981;94090;94363;94609;94945;95104;95336;95742
90967;91170;91369;91489;91531;91667;92524;92910;93024;93160;93525;93554;93668;93935;94188;94546;94716;94931;95369
90427;90648;90928;91009;91038;91157;92024;92472;92539;92685;93092;93123;93218;93455;93750;94105;94314;94516;94969
89975;90075;90375;90546;90522;90597;91499;91955;92038;92151;92559;92658;92740;92964;93247;93631;93849;94053;94540
89370;89547;89741;89917;90009;90019;90914;91396;91478;91639;91980;92115;92226;92453;92744;93104;93338;93563;94068
88654;88912;89160;89280;89360;89471;90324;90774;90854;91051;91425;91477;91620;91916;92176;92532;92757;93029;93522
87915;88171;88479;88688;88663;88779;89740;90121;90159;90419;90763;90933;90957;91296;91589;91953;92172;92457;92963
87152;87344;87676;87948;88019;88010;89008;89501;89459;89690;90086;90257;90337;90583;90914;91305;91556;91858;92329
86277;86537;86859;87120;87249;87343;88224;88710;88745;88953;89270;89521;89591;89934;90173;90593;90884;91217;91645
85335;85643;86003;86241;86304;86510;87499;87867;87890;88256;88468;88688;88778;89199;89472;89806;90099;90488;90963
84321;84650;85040;85323;85344;85507;86650;87103;86960;87357;87725;87834;87898;88362;88615;89038;89290;89707;90214
83261;83597;83977;84336;84333;84460;85618;86150;86103;86410;86749;86984;86974;87446;87690;88133;88445;88796;89372
82113;82450;82876;83226;83273;83414;84550;85031;85083;85533;85755;85941;86092;86515;86727;87210;87510;87950;88459
80891;81203;81673;82077;82074;82289;83440;83842;83933;84484;84838;84851;84996;85677;85715;86180;86550;86952;87538
79562;79872;80393;80808;80813;81031;82237;82657;82643;83236;83686;83872;83813;84564;84772;85150;85469;85918;86523
78069;78446;78953;79433;79441;79729;80890;81332;81373;81899;82335;82677;82777;83326;83572;84132;84320;84820;85439
76519;76945;77484;77967;77942;78307;79476;79889;79966;80516;80960;81277;81490;82230;82268;82834;83282;83656;84190
74886;75369;75817;76384;76415;76766;77916;78398;78342;79072;79569;79817;80028;80850;81104;81502;81914;82553;82937
73065;73638;74036;74672;74722;75091;76278;76748;76691;77421;78031;78283;78473;79311;79649;80307;80419;81153;81750
71120;71780;72186;72876;72913;73345;74527;74962;74896;75763;76365;76695;76864;77678;78020;78858;79102;79682;80229
69021;69788;70182;70956;71041;71393;72665;73055;72969;73915;74584;74848;75110;76041;76250;77156;77538;78310;78613
66827;67549;68051;68867;69020;69382;70585;71050;70984;71967;72598;72963;73170;74221;74477;75385;75690;76666;77206
64555;65278;65750;66630;66822;67155;68460;68839;68889;69844;70525;70928;71186;72240;72503;73544;73789;74743;75501
62236;62923;63257;64214;64405;64844;66201;66533;66488;67614;68316;68745;68962;70158;70329;71502;71808;72706;73461
59672;60560;60726;61636;61804;62312;63681;64012;64011;65196;65958;66395;66654;67867;68107;69352;69625;70667;71324
56953;57940;58157;59019;59153;59566;60995;61330;61307;62690;63438;63936;64116;65546;65630;67070;67185;68400;69108
54211;55166;55368;56389;56402;56714;58058;58458;58467;59968;60759;61201;61492;62922;63052;64599;64658;65864;66667
51174;52272;52469;53566;53659;53806;55086;55294;55429;57068;57935;58375;58596;60155;60255;61984;61969;63296;63999
48046;49142;49414;50585;50579;50913;51982;52073;52092;53980;54880;55318;55623;57158;57306;59112;59186;60487;61226
44793;45886;46177;47400;47436;47796;49019;48869;48856;50656;51732;52143;52418;54098;54130;56165;56125;57491;58244
41496;42485;42887;44083;44224;44528;45792;45623;45515;47311;48345;48769;49080;50830;50772;52937;52965;54286;55147
37987;39220;39482;40783;40757;41137;42446;42163;42187;43877;44896;45215;45561;47382;47201;49637;49566;50961;51792
34478;35823;35973;37283;37219;37681;38890;38682;38671;40621;41415;41631;41791;43793;43589;46128;46112;47452;48296
30904;32362;32539;33848;33740;34192;35254;35086;35065;37065;38066;38107;38108;40076;39862;42526;42360;43754;44628
27454;28887;29095;30349;30286;30696;31752;31439;31502;33549;34496;34706;34419;36345;35988;38845;38563;40061;40986
24199;25540;25704;26877;26887;27290;28195;27834;27855;30002;30905;31047;30976;32666;32317;35029;34780;36229;37241
20999;22355;22454;23534;23525;23914;24702;24407;24344;26462;27324;27427;27322;29256;28708;31348;30912;32445;33448
18040;19268;19297;20319;20296;20647;21368;21122;20912;22944;23776;23843;23722;25628;25343;27840;27241;28572;29629
15159;16443;16328;17290;17141;17548;18241;17957;17765;19609;20404;20361;20292;22214;21815;24473;23776;25006;25822
12562;13804;13651;14478;14429;14653;15242;14917;14820;16549;17243;17231;17029;18937;18505;21074;20659;21581;22237
10301;11247;11209;11940;11843;12056;12566;12199;12031;13786;14354;14389;14131;15819;15442;17970;17527;18525;18883
8226;9148;9024;9647;9588;9769;10148;9787;9596;11273;11749;11806;11355;12997;12609;14926;14558;15429;15941
6453;7234;7177;7615;7595;7735;8095;7788;7518;8942;9451;9473;9066;10461;10146;12100;11770;12689;13085
5067;5639;5490;5894;5803;6057;6288;6023;5800;6998;7402;7426;7119;8256;7942;9643;9306;10020;10485
3802;4368;4145;4459;4439;4497;4872;4604;4401;5399;5695;5761;5454;6445;6075;7432;7184;7688;8206
2785;3274;3064;3326;3249;3243;3513;3334;3288;4089;4400;4368;4102;4898;4594;5692;5498;5844;6249
1944;2331;2180;2399;2337;2242;2420;2301;2328;2955;3257;3306;2991;3667;3418;4327;4086;4414;4728
1388;1611;1521;1674;1689;1528;1606;1519;1524;2106;2433;2425;2141;2750;2513;3280;2990;3219;3456
975;1184;1047;1117;1119;1012;999;969;1016;1431;1740;1755;1518;1982;1799;2388;2163;2277;2565
654;842;768;707;778;622;629;603;651;945;1154;1226;1079;1425;1272;1716;1537;1632;1928
414;594;548;470;541;401;383;383;400;638;784;808;717;1011;873;1231;1063;1152;1356
