Població. Per lloc de naixement sexe i edat.
Catalunya. 2004
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=200400
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;162987;153403;316390;2170;1916;4086;8534;8947;17481;173691;164266;337957
De 5 a 9 anys;137124;128658;265782;2984;2919;5903;16582;15589;32171;156690;147166;303856
De 10 a 14 anys;137959;130195;268154;3855;3837;7692;16965;15858;32823;158779;149890;308669
De 15 a 19 anys;148046;140280;288326;6286;5898;12184;19090;18273;37363;173422;164451;337873
De 20 a 24 anys;190225;180217;370442;9187;9951;19138;38679;35819;74498;238091;225987;464078
De 25 a 29 anys;242402;228513;470915;16197;17106;33303;65805;52488;118293;324404;298107;622511
De 30 a 34 anys;222497;212006;434503;28579;28914;57493;65883;47832;113715;316959;288752;605711
De 35 a 39 anys;196902;189811;386713;44306;44864;89170;53326;39543;92869;294534;274218;568752
De 40 a 44 anys;155839;153874;309713;65446;69682;135128;37656;29935;67591;258941;253491;512432
De 45 a 49 anys;125257;124004;249261;81363;87464;168827;24726;20514;45240;231346;231982;463328
De 50 a 54 anys;99839;99841;199680;92762;97530;190292;14706;14418;29124;207307;211789;419096
De 55 a 59 anys;88462;89660;178122;100453;105551;206004;8891;10286;19177;197806;205497;403303
De 60 a 64 anys;64666;67324;131990;82004;85067;167071;6366;7833;14199;153036;160224;313260
De 65 a 69 anys;66493;74596;141089;75129;84357;159486;4471;5594;10065;146093;164547;310640
De 70 a 74 anys;69112;83959;153071;62592;79003;141595;3634;4923;8557;135338;167885;303223
De 75 a 79 anys;55306;75474;130780;43611;64066;107677;2461;3594;6055;101378;143134;244512
De 80 a 84 anys;33932;56662;90594;25985;45989;71974;1260;2151;3411;61177;104802;165979
De 85 anys i més;21298;49105;70403;15283;39701;54984;756;1996;2752;37337;90802;128139
Total;2218346;2237582;4455928;758192;873815;1632007;389791;335593;725384;3366329;3446990;6813319

