Spain,  Births (1-year)	Last modified: 05 Oct 2018;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1908          313288    344720    658008
1909          310009    340489    650498
1910          308121    338854    646975
1911          299984    328459    628443
1912          303527    334333    637860
1913          294979    322871    617850
1914          290488    317719    608207
1915          299857    331605    631462
1916          284855    314156    599011
1917          287271    314868    602139
1918          292334    320403    612737
1919          279347    306616    585963
1920          297014    326325    623339
1921          309323    339569    648892
1922          313425    342668    656093
1923          316899    345677    662576
1924          312852    340233    653085
1925          309523    335218    644741
1926          318141    345260    663401
1927          306623    329405    636028
1928          320549    345691    666240
1929          315442    338226    653668
1930          320556    345321    665877
1931          315720    338058    653778
1932          325995    349115    675110
1933          325664    346580    672244
1934          311904    329984    641888
1935          309237    327488    636725
1936          300063    317157    617220
1937          276353    292624    568977
1938          245966    262760    508726
1939          203987    218358    422345
1940          305131    326154    631285
1941          247238    263916    511154
1942          256446    274399    530845
1943          294184    312787    606971
1944          292599    309492    602091
1945          302250    319308    621558
1946          285366    300015    585381
1947          286391    302341    588732
1948          312386    329655    642041
1949          293110    308649    601759
1950          275078    290300    565378
1951          275692    291782    567474
1952          287120    305899    593019
1953          286442    302746    589188
1954          281954    295932    577886
1955          291426    307544    598970
1956          296437    311684    608121
1957          315196    331588    646784
1958          318705    334511    653216
1959          318369    336105    654474
1960          321660    341715    663375
1961          317749    336867    654616
1962          320003    338813    658816
1963          326221    345299    671520
1964          339393    358304    697697
1965          329334    347027    676361
1966          325561    344358    669919
1967          330810    349315    680125
1968          324585    342726    667311
1969          323855    342713    666568
1970          322266    341401    663667
1971          326241    345851    672092
1972          326442    345963    672405
1973          326888    346075    672963
1974          334984    353727    688711
1975          322614    345982    668596
1976          327848    348870    676718
1977          316858    338667    655525
1978          306712    329371    636083
1979          290832    310649    601481
1980          274628    296018    570646
1981          254640    277961    532601
1982          246885    268447    515332
1983          233522    251324    484846
1984          227005    245815    472820
1985          219881    236056    455937
1986          211345    226958    438303
1987          205312    221087    426399
1988          201978    216459    418437
1989          197021    211003    408024
1990          193769    207304    401073
1991          190937    204715    395652
1992          191985    204685    396670
1993          186344    199374    385718
1994          178813    190764    369577
1995          176068    187399    363467
1996          175580    186367    361947
1997          178585    189776    368361
1998          175825    188602    364427
1999          183966    195248    379214
2000          191557    205069    396626
2001          197087    208226    405313
2002          202310    215378    417688
2003          213622    226909    440531
2004          219018    234154    453172
2005          225424    239387    464811
2006          232980    248315    481295
2007          237975    253163    491138
2008          250823    267680    518503
2009          238446    255271    493717
2010          235207    250045    485252
2011          227997    242556    470553
2012          219660    233688    453348
2013          206065    218375    424440
2014          206042    220034    426076
2015          203794    216496    420290
2016          199496    211087    410583
