Spain, Deaths (period 1x1), 	Last modified: 05 Oct 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1908           0             47227.91        58273.62       105501.53
  1908           1             21842.14        23169.06        45011.20
  1908           2             11308.41        11577.51        22885.92
  1908           3              5991.93         6356.85        12348.78
  1908           4              3981.59         4088.48         8070.07
  1908           5              2686.80         2653.45         5340.25
  1908           6              2113.56         2019.67         4133.23
  1908           7              1380.98         1298.65         2679.63
  1908           8              1092.36         1043.94         2136.30
  1908           9               863.86          807.27         1671.13
  1908          10               799.72          689.94         1489.66
  1908          11               704.52          623.75         1328.27
  1908          12               755.63          647.82         1403.45
  1908          13               702.51          629.77         1332.28
  1908          14               878.89          680.91         1559.80
  1908          15               910.96          657.85         1568.81
  1908          16               999.15          724.03         1723.18
  1908          17              1056.28          976.74         2033.02
  1908          18              1220.64         1160.26         2380.90
  1908          19              1087.35         1089.06         2176.41
  1908          20              1275.75         1119.14         2394.89
  1908          21              1037.24         1071.01         2108.25
  1908          22              1378.97         1219.42         2598.39
  1908          23              1310.82         1198.37         2509.19
  1908          24              1330.87         1189.34         2520.21
  1908          25              1227.65         1132.18         2359.83
  1908          26              1257.71         1080.03         2337.74
  1908          27              1186.56          959.69         2146.25
  1908          28              1319.85         1115.13         2434.98
  1908          29               931.01          827.32         1758.33
  1908          30              1820.93         1221.43         3042.36
  1908          31               808.74          707.99         1516.73
  1908          32              1349.91         1002.81         2352.72
  1908          33              1143.46         1049.95         2193.41
  1908          34              1173.53          981.76         2155.29
  1908          35              1237.67         1130.17         2367.84
  1908          36              1218.63         1099.08         2317.71
  1908          37               938.03          857.40         1795.43
  1908          38              1132.44         1163.26         2295.70
  1908          39               772.67          801.25         1573.92
  1908          40              1949.21         1714.81         3664.02
  1908          41               697.50          779.19         1476.69
  1908          42              1298.80         1399.93         2698.73
  1908          43               835.81         1047.94         1883.75
  1908          44              1100.38         1225.44         2325.82
  1908          45              1304.82         1527.29         2832.11
  1908          46              1156.49         1353.80         2510.29
  1908          47               848.83         1230.45         2079.28
  1908          48              1330.87         1700.77         3031.64
  1908          49               891.93         1056.97         1948.90
  1908          50              2418.22         2346.59         4764.81
  1908          51               718.55          952.68         1671.23
  1908          52              1351.92         1593.47         2945.39
  1908          53              1048.27         1342.77         2391.04
  1908          54              1401.03         1734.88         3135.91
  1908          55              1629.52         1777.99         3407.51
