Spain,  Deaths (Lexis triangle)	Last modified: 05 Oct 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1908    0      1908    31252.78    38175.45    69428.23
 1908    0      1907    15975.13    20098.17    36073.30
 1908    1      1907    12623.64    13397.63    26021.27
 1908    1      1906     9218.50     9771.43    18989.93
 1908    2      1906     5713.19     5882.16    11595.35
 1908    2      1905     5595.22     5695.35    11290.57
 1908    3      1905     3027.22     3229.71     6256.93
 1908    3      1904     2964.71     3127.14     6091.85
 1908    4      1904     2011.56     2077.22     4088.78
 1908    4      1903     1970.03     2011.26     3981.29
 1908    5      1903     1327.32     1333.54     2660.86
 1908    5      1902     1359.48     1319.91     2679.39
 1908    6      1902     1044.13     1015.02     2059.15
 1908    6      1901     1069.43     1004.65     2074.08
 1908    7      1901      682.23      652.66     1334.89
 1908    7      1900      698.75      645.99     1344.74
 1908    8      1900      539.64      524.65     1064.29
 1908    8      1899      552.72      519.29     1072.01
 1908    9      1899      426.76      405.71      832.47
 1908    9      1898      437.10      401.56      838.66
 1908   10      1898      382.44      338.67      721.11
 1908   10      1897      417.28      351.27      768.55
 1908   11      1897      336.91      306.18      643.09
 1908   11      1896      367.61      317.57      685.18
 1908   12      1896      361.35      317.99      679.34
 1908   12      1895      394.28      329.83      724.11
 1908   13      1895      335.95      309.13      645.08
 1908   13      1894      366.56      320.64      687.20
 1908   14      1894      420.30      334.24      754.54
 1908   14      1893      458.59      346.67      805.26
 1908   15      1893      436.09      317.06      753.15
 1908   15      1892      474.87      340.79      815.66
 1908   16      1892      478.31      348.96      827.27
 1908   16      1891      520.84      375.07      895.91
 1908   17      1891      505.66      470.76      976.42
 1908   17      1890      550.62      505.98     1056.60
 1908   18      1890      584.34      559.21     1143.55
 1908   18      1889      636.30      601.05     1237.35
 1908   19      1889      520.53      524.89     1045.42
 1908   19      1888      566.82      564.17     1130.99
 1908   20      1888      620.16      562.89     1183.05
 1908   20      1887      655.59      556.25     1211.84
 1908   21      1887      504.22      538.68     1042.90
 1908   21      1886      533.02      532.33     1065.35
 1908   22      1886      670.34      613.33     1283.67
 1908   22      1885      708.63      606.09     1314.72
 1908   23      1885      637.21      602.74     1239.95
 1908   23      1884      673.61      595.63     1269.24
 1908   24      1884      646.96      598.20     1245.16
 1908   24      1883      683.91      591.14     1275.05
 1908   25      1883      598.62      574.66     1173.28
 1908   25      1882      629.03      557.52     1186.55
 1908   26      1882      613.28      548.19     1161.47
 1908   26      1881      644.43      531.84     1176.27
 1908   27      1881      578.59      487.11     1065.70
 1908   27      1880      607.97      472.58     1080.55
 1908   28      1880      643.58      566.00     1209.58
 1908   28      1879      676.27      549.13     1225.40
 1908   29      1879      453.98      419.92      873.90
 1908   29      1878      477.03      407.40      884.43
 1908   30      1878      888.83      613.85     1502.68
