Spain,  Exposures (Lexis triangle)	Last modified: 05 Oct 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1908    0      1908   156574.69   164439.20   321013.89
 1908    0      1907   138906.11   143479.08   282385.18
 1908    1      1907   139203.75   142390.58   281594.32
 1908    1      1906   124764.52   125932.56   250697.08
 1908    2      1906   132441.85   133473.59   265915.44
 1908    2      1905   117853.95   121210.21   239064.16
 1908    3      1905   125078.82   128622.17   253701.00
 1908    3      1904   117350.98   117944.03   235295.01
 1908    4      1904   128083.64   128658.46   256742.10
 1908    4      1903   116674.86   117958.68   234633.54
 1908    5      1903   124840.76   126210.34   251051.10
 1908    5      1902   116651.70   118575.54   235227.24
 1908    6      1902   124480.07   126570.71   251050.78
 1908    6      1901   103475.44   105304.87   208780.31
 1908    7      1901   112444.87   114477.05   226921.92
 1908    7      1900   111741.49   112010.66   223752.15
 1908    8      1900   124019.33   124343.60   248362.93
 1908    8      1899    97385.85    98692.80   196078.64
 1908    9      1899    97059.35    98384.46   195443.82
 1908    9      1898   111375.62   110507.41   221883.03
 1908   10      1898   111102.44   110260.67   221363.11
 1908   10      1897    99197.26    99209.14   198406.39
 1908   11      1897    98945.86    98989.99   197935.85
 1908   11      1896   101428.24   101897.51   203325.75
 1908   12      1896   101185.26   101685.66   202870.91
 1908   12      1895    93746.58    90914.17   184660.75
 1908   13      1895    93503.17    90701.18   184204.35
 1908   13      1894    94017.42    87537.42   181554.84
 1908   14      1894    93755.14    87319.13   181074.26
 1908   14      1893    89659.67    87362.90   177022.57
 1908   15      1893    89361.45    87141.65   176503.10
 1908   15      1892   103242.07    92647.32   195889.39
 1908   16      1892   102924.34    92417.41   195341.75
 1908   16      1891    83063.70    74984.79   158048.49
 1908   17      1891    82721.54    74702.85   157424.38
 1908   17      1890   102432.70    79439.42   181872.12
 1908   18      1890   102054.38    79084.36   181138.73
 1908   18      1889    73911.03    70921.66   144832.70
 1908   19      1889    73525.42    70546.35   144071.77
 1908   19      1888    91182.38    86100.39   177282.77
 1908   20      1888    90786.72    85724.71   176511.43
 1908   20      1887    80969.58    82558.32   163527.90
 1908   21      1887    80582.97    82193.35   162776.32
 1908   21      1886    88393.83    77253.26   165647.09
 1908   22      1886    87992.71    76871.38   164864.09
 1908   22      1885    86559.87    76232.94   162792.80
 1908   23      1885    86111.25    75829.99   161941.24
 1908   23      1884    82678.96    74775.95   157454.91
 1908   24      1884    82238.77    74378.00   156616.78
 1908   24      1883    70961.57    68351.05   139312.62
 1908   25      1883    70534.06    67962.45   138496.51
 1908   25      1882    85856.60    75883.10   161739.69
 1908   26      1882    85442.49    75514.53   160957.02
 1908   26      1881    62641.51    59442.65   122084.16
 1908   27      1881    62233.84    59103.00   121336.83
