person,month,violence_tweets,assault_tweets,comandos_tweets,rebelion_tweets,total_tweets
@elmundoespana,2016-02-11,0,0,0,1,150
@elmundoespana,2016-02-18,0,0,0,0,166
@elmundoespana,2016-02-25,0,1,0,0,223
@elmundoespana,2016-03-03,0,1,0,0,194
@elmundoespana,2016-03-10,0,0,0,0,163
@elmundoespana,2016-03-17,0,0,0,2,203
@elmundoespana,2016-03-24,1,0,0,1,124
@elmundoespana,2016-03-31,0,0,0,0,203
@elmundoespana,2016-04-07,0,0,0,0,218
@elmundoespana,2016-04-14,2,0,0,0,215
@elmundoespana,2016-04-21,0,1,0,1,190
@elmundoespana,2016-04-28,0,0,0,0,216
@elmundoespana,2016-05-05,0,0,0,0,114
@elespanolcom,2016-05-12,0,1,0,1,502
@elmundoespana,2016-05-12,0,1,0,1,126
@elespanolcom,2016-05-19,1,2,0,0,589
@elmundoespana,2016-05-19,2,0,0,0,170
@elespanolcom,2016-05-26,2,0,0,1,591
@elmundoespana,2016-05-26,2,0,0,0,188
@elespanolcom,2016-06-02,1,0,0,0,603
@elmundoespana,2016-06-02,0,0,0,0,176
@elespanolcom,2016-06-09,0,2,0,1,632
@elmundoespana,2016-06-09,2,0,0,0,209
@elespanolcom,2016-06-16,1,3,0,0,653
@elmundoespana,2016-06-16,1,0,0,0,155
@elespanolcom,2016-06-23,1,0,0,0,715
@elmundoespana,2016-06-23,0,0,0,0,184
@elespanolcom,2016-06-30,1,0,0,0,675
@elmundoespana,2016-06-30,0,0,0,0,158
@elespanolcom,2016-07-07,2,2,0,1,621
@elmundoespana,2016-07-07,0,0,0,0,137
@elespanolcom,2016-07-14,0,2,0,1,726
@elmundoespana,2016-07-14,0,0,0,0,118
@elespanolcom,2016-07-21,1,2,0,0,639
@elmundoespana,2016-07-21,0,0,0,0,134
@elespanolcom,2016-07-28,1,6,0,2,639
@elmundoespana,2016-07-28,0,0,0,0,125
@elespanolcom,2016-08-04,2,1,0,1,570
@elmundoespana,2016-08-04,0,0,0,0,116
@elespanolcom,2016-08-11,0,2,0,1,584
@elmundoespana,2016-08-11,0,0,0,0,84
@elespanolcom,2016-08-18,2,1,0,1,563
@elmundoespana,2016-08-18,0,0,0,0,100
@elespanolcom,2016-08-25,1,2,0,1,538
@elmundoespana,2016-08-25,0,1,0,0,108
@elespanolcom,2016-09-01,3,0,0,1,651
@elmundoespana,2016-09-01,0,0,1,0,136
@elespanolcom,2016-09-08,0,0,0,0,559
@elmundoespana,2016-09-08,0,0,0,1,127
@elespanolcom,2016-09-15,3,1,0,1,534
@elmundoespana,2016-09-15,0,0,0,1,111
@elespanolcom,2016-09-22,1,0,0,2,627
@elmundoespana,2016-09-22,0,0,0,0,139
@elespanolcom,2016-09-29,1,0,0,4,710
@elmundoespana,2016-09-29,0,2,0,3,198
@elespanolcom,2016-10-06,0,0,0,0,644
@elmundoespana,2016-10-06,0,0,0,0,140
@elespanolcom,2016-10-13,3,2,0,3,569
