Category: All categories

Month,hispanofobia: (Spain),catalanofobia: (Spain)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,15
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,0,21
2005-11,0,20
2005-12,0,0
2006-01,0,9
2006-02,0,0
2006-03,0,0
2006-04,0,13
2006-05,0,8
2006-06,0,8
2006-07,9,0
2006-08,0,0
2006-09,0,0
2006-10,0,7
2006-11,0,0
2006-12,0,10
2007-01,0,0
2007-02,0,0
2007-03,0,0
2007-04,0,6
2007-05,0,5
2007-06,0,0
2007-07,0,0
2007-08,0,0
2007-09,0,9
2007-10,0,0
2007-11,0,4
2007-12,0,4
2008-01,0,4
2008-02,4,0
2008-03,4,4
2008-04,7,0
2008-05,0,3
2008-06,0,4
2008-07,0,4
2008-08,0,0
2008-09,0,0
2008-10,0,0
2008-11,0,3
2008-12,0,3
2009-01,0,0
2009-02,0,0
2009-03,0,0
2009-04,0,0
2009-05,0,3
2009-06,0,0
2009-07,0,6
2009-08,0,4
2009-09,0,3
2009-10,0,0
2009-11,0,5
2009-12,0,3
2010-01,0,0
2010-02,0,2
2010-03,2,0
2010-04,0,2
2010-05,0,0
2010-06,0,0
2010-07,0,0
2010-08,0,0
2010-09,0,2
2010-10,0,0
2010-11,0,0
2010-12,2,0
2011-01,0,2
2011-02,0,2
2011-03,2,0
2011-04,0,2
2011-05,0,4
2011-06,0,2
2011-07,0,2
2011-08,0,0
2011-09,2,0
2011-10,2,2
2011-11,2,2
2011-12,0,2
2012-01,2,0
2012-02,0,0
2012-03,2,3
2012-04,0,2
2012-05,0,2
2012-06,2,0
2012-07,0,2
2012-08,2,3
2012-09,2,2
2012-10,0,3
2012-11,1,1
2012-12,0,2
2013-01,0,3
2013-02,1,0
2013-03,1,0
2013-04,3,55
2013-05,1,7
2013-06,0,7
2013-07,0,5
2013-08,2,2
2013-09,1,3
2013-10,0,2
2013-11,0,0
2013-12,0,2
2014-01,1,2
2014-02,0,4
2014-03,1,2
2014-04,0,4
2014-05,0,2
2014-06,1,2
2014-07,1,1
2014-08,0,3
2014-09,1,5
2014-10,0,2
2014-11,0,2
2014-12,1,1
2015-01,1,2
2015-02,0,3
2015-03,1,13
2015-04,0,3
2015-05,0,2
2015-06,0,6
2015-07,0,3
2015-08,1,3
2015-09,1,5
2015-10,1,1
2015-11,2,2
2015-12,2,0
2016-01,0,0
2016-02,0,1
2016-03,1,3
2016-04,0,2
2016-05,1,2
2016-06,4,1
2016-07,1,2
2016-08,0,2
2016-09,0,3
2016-10,1,1
2016-11,0,1
2016-12,0,1
2017-01,1,2
2017-02,3,3
2017-03,2,3
2017-04,1,2
2017-05,2,2
2017-06,1,2
2017-07,1,1
2017-08,3,19
2017-09,100,6
2017-10,5,8
2017-11,2,3
2017-12,4,5
2018-01,2,1
2018-02,2,3
2018-03,4,2
2018-04,4,2
2018-05,4,2
2018-06,2,2
2018-07,2,1
2018-08,3,2
2018-09,3,2
2018-10,2,2
2018-11,2,1
2018-12,3,4
2019-01,1,3
2019-02,1,1
2019-03,3,3
2019-04,2,2
2019-05,2,1
2019-06,4,2
2019-07,2,1
2019-08,3,3
2019-09,2,3
2019-10,3,2
2019-11,1,1
2019-12,2,1
2020-01,3,1
