Document Title,Application Number,Document Type,Originating Body,Date,Conclusion
CASE OF HADDAD v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,16572/17,HJUDSPA,Court (Third Section),18/06/2019,Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for family life;Respect for private life)
AFFAIRE HADDAD c. ESPAGNE,16572/17,HFJUD,Court (Third Section),18/06/2019,Violation de l'article 8 - Droit au respect de la vie privée et familiale (Article 8-1 - Respect de la vie familiale;Respect de la vie privée)
CASE OF HADDAD v. SPAIN,16572/17,HEJUD,Court (Third Section),18/06/2019,Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for family life;Respect for private life)
CASE OF HADDAD v. SPAIN - [Romanian Translation] legal summary by the Constitutional Court of the Republic of Moldova ,16572/17,HJUDRUM,Court (Third Section),18/06/2019,Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for family life;Respect for private life)
CASE OF HADDAD v. SPAIN - [Ukrainian Translation] summary by the Supreme Court of Ukraine,16572/17,HJUDUKR,Court (Third Section),18/06/2019,Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for family life;Respect for private life)
CASE OF SABER AND BOUGHASSAL v. SPAIN  - [Spanish Translation] by the Spanish Ministry of Justice,76550/13;45938/14,HJUDSPA,Court (Third Section),18/12/2018,Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
AFFAIRE SABER ET BOUGHASSAL c. ESPAGNE,76550/13;45938/14,HFJUD,Court (Third Section),18/12/2018,Violation de l'article 8 - Droit au respect de la vie privée et familiale (Article 8-1 - Respect de la vie privée)
CASE OF SABER AND BOUGHASSAL v. SPAIN,76550/13;45938/14,HEJUD,Court (Third Section),18/12/2018,Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF TORANZO GOMEZ v. SPAIN,26922/14,HEJUD,Court (Third Section),20/11/2018,Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression);Pecuniary and non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Pecuniary damage;Just satisfaction)
AFFAIRE TORANZO GOMEZ c. ESPAGNE,26922/14,HFJUD,Court (Third Section),20/11/2018,Violation de l'article 10 - Liberté d'expression-{général} (Article 10-1 - Liberté d'expression);Dommage matériel et préjudice moral - réparation (Article 41 - Préjudice moral;Dommage matériel;Satisfaction équitable)
