Document Title,Application Number,Document Type,Originating Body,Date,Conclusion
CASE OF BARBERÀ; MESSEGUÉ AND JABARDO v. SPAIN - [German Translation] summary by N. P. Engel Verlag,10590/83,HJUDGER,Court (Plenary),06/12/1988,Preliminary objections rejected (non-exhaustion of domestic remedies; estoppel);Preliminary objection allowed (non-exhaustion of domestic remedies);Preliminary objections rejected (non-exhaustion of domestic remedies; estoppel);Violation of Art. 6-1;Just satisfaction reserved
CASE OF BARBERÀ; MESSEGUÉ AND JABARDO v. SPAIN,10590/83,HEJUD,Court (Plenary),06/12/1988,Preliminary objections rejected (non-exhaustion of domestic remedies; estoppel);Preliminary objection allowed (non-exhaustion of domestic remedies);Preliminary objections rejected (non-exhaustion of domestic remedies; estoppel);Violation of Art. 6-1;Just satisfaction reserved
AFFAIRE BARBERÀ; MESSEGUÉ ET JABARDO c. ESPAGNE,10590/83,HFJUD,Court (Plenary),06/12/1988,Exceptions préliminaires rejetées (non-épuisement des voies de recours internes; forclusion);Exception préliminaire retenue (non-épuisement des voies de recours internes);Exceptions préliminaires rejetées (non-épuisement des voies de recours internes; forclusion);Violation de l'Art. 6-1;Satisfaction équitable réservée
CASE OF BARBERÀ; MESSEGUÉ AND JABARDO v. SPAIN - [Slovenian Translation],10590/83,HJUDSLV,Court (Plenary),06/12/1988,Preliminary objections rejected (non-exhaustion of domestic remedies; estoppel);Preliminary objection allowed (non-exhaustion of domestic remedies);Preliminary objections rejected (non-exhaustion of domestic remedies; estoppel);Violation of Art. 6-1;Just satisfaction reserved
CASE OF BARBERÀ; MESSEGUÉ AND JABARDO v. SPAIN - [Russian Translation],10590/83,HJUDRUS,Court (Plenary),06/12/1988,Preliminary objections rejected (non-exhaustion of domestic remedies; estoppel);Preliminary objection allowed (non-exhaustion of domestic remedies);Preliminary objections rejected (non-exhaustion of domestic remedies; estoppel);Violation of Art. 6-1;Just satisfaction reserved
CASE OF BARBERÀ; MESSEGUÉ AND JABARDO v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,10590/83,HJUDSPA,Court (Plenary),06/12/1988,Preliminary objections rejected (non-exhaustion of domestic remedies; estoppel);Preliminary objection allowed (non-exhaustion of domestic remedies);Preliminary objections rejected (non-exhaustion of domestic remedies; estoppel);Violation of Art. 6-1;Just satisfaction reserved
CASE OF UNIÓN ALIMENTARIA SANDERS S.A. v. SPAIN,11681/85,HEJUD,Court (Chamber),07/07/1989,Violation of Art. 6-1;Pecuniary damage - financial award;Costs and expenses award - Convention proceedings
AFFAIRE UNIÓN ALIMENTARIA SANDERS S.A. c. ESPAGNE,11681/85,HFJUD,Court (Chamber),07/07/1989,Violation de l'Art. 6-1;Dommage matériel - réparation pécuniaire;Remboursement frais et dépens - procédure de la Convention
CASE OF UNION ALIMENTARIA SANDERS S.A. v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,11681/85,HJUDSPA,Court (Chamber),07/07/1989,Violation of Art. 6-1;Pecuniary damage - financial award;Costs and expenses award - Convention proceedings
CASE OF CASTELLS v. SPAIN,11798/85,HEJUD,Court (Chamber),23/04/1992,Preliminary objection rejected (non-exhaustion);Violation of Art. 10;Not necessary to examine Art. 14+10;Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
