username,party,is_party,prison,exile
albanodante76,Altre,FALSE,FALSE,FALSE
cridanacional,Crida,TRUE,FALSE,FALSE
cupnacional,CUP,TRUE,FALSE,FALSE
esquerra_erc,ERC,TRUE,FALSE,FALSE
g_pisarello,Podem,FALSE,FALSE,FALSE
gabrielrufian,ERC,FALSE,FALSE,FALSE
jaumeasens,Podem,FALSE,FALSE,FALSE
joantarda,ERC,FALSE,FALSE,FALSE
junqueras,ERC,FALSE,FALSE,FALSE
krls,PDECat,FALSE,FALSE,TRUE
miriamnoguerasm,PDECat,FALSE,FALSE,FALSE
pdemocratacat,PDECat,TRUE,FALSE,FALSE
perearagones,ERC,FALSE,FALSE,FALSE
quimtorraipla,PDECat,FALSE,FALSE,FALSE
rogertorrent,ERC,FALSE,FALSE,FALSE
elsa_artadi,PDECat,FALSE,FALSE,FALSE
quimforn,PDECat,FALSE,TRUE,FALSE
dolorsbassac,ERC,FALSE,TRUE,FALSE
toni_comin,ERC,FALSE,FALSE,TRUE
yeyaboya,CUP,FALSE,FALSE,FALSE
adacolau,Podem,FALSE,FALSE,FALSE
martarovira,ERC,FALSE,FALSE,TRUE
meritxellserret,ERC,FALSE,FALSE,TRUE
carlesmundo,ERC,FALSE,FALSE,FALSE
lluispuiggordi,PDECat,FALSE,FALSE,TRUE
jordialapreso,PDECat,FALSE,TRUE,FALSE
raulromeva,ERC,FALSE,TRUE,FALSE
jorditurull,PDECat,FALSE,TRUE,FALSE
joseprull,PDECat,FALSE,TRUE,FALSE
forcadellcarme,ERC,FALSE,TRUE,FALSE
claraponsati,PDECat,FALSE,FALSE,TRUE
txellborras,PDECat,FALSE,FALSE,FALSE
pablo_iglesias_,Podem,FALSE,FALSE,FALSE
ernesturtasun,Podem,FALSE,FALSE,FALSE
ernestmaragall,ERC,FALSE,FALSE,FALSE
ahorapodemos,Podem,TRUE,FALSE,FALSE
podem_cat,Podem,TRUE,FALSE,FALSE
jcuixart,Altre,FALSE,TRUE,FALSE
pnique,Podem,FALSE,FALSE,FALSE
jordigraupera,Altre,FALSE,FALSE,FALSE
carlesral,CUP,FALSE,FALSE,FALSE
aramateix,CUP,FALSE,FALSE,FALSE
