word,n,p,username,rank
gracias,69,0.9913793103448276,moromjesus,1
gracias,30,1.9442644199611145,nachosamor,1
cop25,2,3.278688524590164,idosagasti,1
unidaspodemos,79,0.741923365890308,ensanro,1
cataluña,56,0.7444828503057698,malonsocs,1
avui,105,0.8544226544063798,jaumeasens,1
blog,3343,0.631779869221756,20m,1
badalona,422,4.63379817722631,albiol_xg,1
sitges,71,3.5464535464535465,aurorasitges,1
à,11074,2.491983302766745,lemondefr,1
you,687,1.6565792963757806,printsandbooks,1
españa,31,1.2166405023547882,jfrserrano,1
raül,75,3.780241935483871,raulromeva,1
españa,627,1.9329181823786918,pablocasado_,1
galicia,54,0.5732484076433121,nicogoncas,1
pirineu,25,1.3333333333333335,oscarordeig,1
cataluña,81,0.7336956521739131,sergiobarcelona,1
ambtuéspossible,276,2.564340797175509,mespermenorca,1
parlament,1112,1.5661751242940238,ciutadanscs,1
pp,445,2.7477616548317383,montesinospablo,1
👇👇👇,99,1.1621082286653364,pilarmarcosd,1
españa,20,1.7574692442882252,migonzalezcaba,1
gracias,33,1.073869183208591,muniafj,1
gracias,92,4.448742746615087,maximhuerta,1
avui,11,0.8494208494208495,sergisabria,1
gràcies,103,1.4722698684962836,peprierafont,1
ciudadanos,128,0.9259259259259258,martamartirio,1
cs,84,1.0780287474332648,_martinbarra,1
lleida,26,0.9259259259259258,xaviquinquilla,1
parlament,36,2.097902097902098,santirodriguez,1
catalunya,68,0.6731340328647792,joanmena,1
absolució,150,2.6595744680851063,jordialapreso,1
años,2882,0.5087450484737649,abc_es,1
gracias,45,3.8593481989708405,jccampm,1
madrid,3513,0.7692661424357686,okdiario,1
valència,452,2.6018880957863226,joanribo,1
lloret,50,0.9377344336084021,jordi_orobitg,1
digital,3,2.2058823529411766,juan_pedreno,1
tarragona,111,2.0468375437949478,fjdominguez8,1
logroño,140,1.1322280630812778,cucagamarra,1
gobierno,27,2.3215821152192606,juanluissotoadd,1
catalunya,108,0.49157942649066905,jacs_jaumeacs,1
españa,299,1.1909978092013542,agustinrosety,1
that,247,0.6863017504862462,joethebrew,1
lugo,159,1.133447390932421,anaprietonieto,1
gràcies,85,1.4599793885262797,miriamnoguerasm,1
mallorca,2293,1.7517456340051034,dbalears,1
cap,108,0.6523708849290244,nataliadipp,1
gent,167,0.5605343537072467,albanodante76,1
avui,67,1.5107102593010147,anna_caula,1
gracias,67,0.8290027220984905,blanca_vic,1
españa,70,1.3182674199623352,nadiacalvino,1
figueres,98,2.9705971506517126,hector_amello,1
tsunamidemocràtic,166,2.158086323452938,tsunami_dem,1
gobierno,175,1.2774655084312723,carmencalvo_,1
à,51,3.935185185185185,jeanmarcpujol,1
psoe,98,1.5076923076923077,oscargamazo,1
🇪🇸,377,2.513668489131884,espciudadana,1
gràcies,54,0.659582264565775,margaprohens,1
❌,26,0.8606421714664019,josemariacanocs,1
psoe,76,0.6614447345517842,jsalvadorduch,1
murcia,3059,1.37264140360324,laverdad_es,1
!,44,1.1566771819137749,meerrocio,1
avui,37,1.4380101049358724,gloriafreixav,1
canarias,95,3.2758620689655173,anioramas,1
gobierno,11,1.4397905759162304,belenfcasero,1
agredido,1,9.090909090909092,ferdeparamo,1
avui,58,2.4712398806987643,mtpallares,1
compañeros,55,0.6708135138431516,mariavalle7,1
madrid,165,2.0468924451060664,alevysoler,1
🌹,120,0.7829831658619341,merceperea,1
brasil,254,0.6239253254728568,_maria_dantas_,1
barcelona,199,1.4552102376599634,igarrigavaz,1
avui,64,0.8138351983723295,ainavs,1
vox,242,0.894011599985223,fjconpe,1
portodoloquenosune,4,2.9197080291970803,auxipd,1
agramunt,77,1.5798112433319653,bernatsole,1
españa,32,0.7165248544558889,esperanzagarcpp,1
palma,5025,3.249209520668852,diariomallorca,1
catalunya,3237,0.49205072819555556,elnacionalcat,1
vox,131,1.270241442839135,joseramirezdel2,1
!,553,3.06949378330373,fortelena,1
