;2019 10N;2019 28A
Partit;Vots;%;Diputats;Vots;%;Diputats
ERC;869.934;22,56;13;1.020.392;24,61;15
PSC;790.582;20,51;12;962.257;23,21;12
JxCAT;527.375;13,68;8;500.787;12,08;7
ECP;546.733;14,18;7;615.665;14,85;7
PP;286.302;7,43;2;200.841;4,84;1
CUP;244.754;6,35;2;-;-;-
VOX;243.026;6,30;2;148.844;3,59;1
Cs;216.373;5,61;2;479.374;11,56;5
PACMA;44.389;1,15;-;63.895;1,54;-
Més País;41.703;1,08;-;-;-;-
RCERO;5.790;0,15;-;6.944;0,17;-
IFem;2.822;0,07;-;-;-;-
PUM+J;2.345;0,06;-;417;0,01;-
PCTC;2.215;0,06;-;2.353;0,06;-
PCPC;2.135;0,06;-;3.373;0,08;-
IZQP;1.916;0,05;-;2.791;0,07;-
FR;-;-;-;113.807;2,74;-
CNV;-;-;-;2.541;0,06;-
