Població. Per lloc de naixement sexe i edat.
Catalunya. 2003
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=200300
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;155720;146586;302306;1957;1850;3807;7366;7498;14864;165043;155934;320977
De 5 a 9 anys;136245;128681;264926;3062;2980;6042;13340;12516;25856;152647;144177;296824
De 10 a 14 anys;139349;131407;270756;4138;4096;8234;13799;13046;26845;157286;148549;305835
De 15 a 19 anys;153170;145618;298788;6758;6401;13159;16194;14920;31114;176122;166939;343061
De 20 a 24 anys;204548;193280;397828;9613;10266;19879;34976;30246;65222;249137;233792;482929
De 25 a 29 anys;244694;231343;476037;17199;18006;35205;55937;43195;99132;317830;292544;610374
De 30 a 34 anys;216729;206966;423695;30779;31142;61921;57167;40994;98161;304675;279102;583777
De 35 a 39 anys;190779;184452;375231;48352;49354;97706;46562;34832;81394;285693;268638;554331
De 40 a 44 anys;150306;148749;299055;70208;74884;145092;32427;25414;57841;252941;249047;501988
De 45 a 49 anys;118859;117474;236333;84344;90162;174506;21130;17539;38669;224333;225175;449508
De 50 a 54 anys;98533;98793;197326;96927;101665;198592;12842;12432;25274;208302;212890;421192
De 55 a 59 anys;84696;85523;170219;99199;103265;202464;7890;9049;16939;191785;197837;389622
De 60 a 64 anys;59958;63045;123003;78033;80118;158151;5849;6954;12803;143840;150117;293957
De 65 a 69 anys;72280;80866;153146;76981;87538;164519;4247;5100;9347;153508;173504;327012
De 70 a 74 anys;68946;84115;153061;60394;77085;137479;3704;4818;8522;133044;166018;299062
De 75 a 79 anys;54944;75139;130083;42417;62321;104738;2367;3476;5843;99728;140936;240664
De 80 a 84 anys;31555;54319;85874;24491;44258;68749;1191;2114;3305;57237;100691;157928
De 85 anys i més;21099;47890;68989;14778;38522;53300;822;1994;2816;36699;88406;125105
Total;2202410;2224246;4426656;769630;883913;1653543;337810;286137;623947;3309850;3394296;6704146

