Població. Per lloc de naixement. Totals
Catalunya. 
"Font: Idescat, a partir del Padró continu de l'INE."
(p) Dada provisional
"(..) Dada confidencial, amb baixa fiabilitat o no disponible."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=674&lang=es
,Catalunya,Mateixa comarca,Altra comarca,Resta Estat,Estranger,Total
2018 (p),4916141,..,..,1301264,1378726,7596131
2017,4899882,3440588,1459294,1325004,1330944,7555830
2016,4880987,3425901,1455086,1348713,1292896,7522596
2015,4857555,3406094,1451461,1370930,1279621,7508106
2014,4835032,3388170,1446862,1393243,1290628,7518903
2013,4810810,3366683,1444127,1417177,1325663,7553650
2012,4785157,3343590,1441567,1443480,1342271,7570908
2011,4751310,3314662,1436648,1465633,1322675,7539618
2010,4709911,3284504,1425407,1488103,1314367,7512381
2009,4664675,3248087,1416588,1512755,1297990,7475420
2008,4621331,3215325,1406006,1538036,1204711,7364078
2007,4580137,3190606,1389531,1564301,1066070,7210508
2006,4545736,3180079,1365657,1590240,998721,7134697
2005,4503938,3167048,1336890,1612378,878890,6995206
2004,4455928,3151612,1304316,1632007,725384,6813319
2003,4426656,3149983,1276673,1653543,623947,6704146
2002,4376979,3130015,1246964,1668210,461251,6506440
2001,4339816,3119880,1219936,1685687,335862,6361365
2000,4305142,3107521,1197621,1703807,253050,6261999

