Població per sexe i edat any a any
Catalunya. 1 de gener de 1981
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=ep&n=9123&t=198101&lang=en
Edats;Homes;Dones;Total
0 anys;41941;39464;81405
1 any;46497;44105;90602
2 anys;49523;46585;96108
3 anys;51607;48969;100576
4 anys;53864;50563;104427
5 anys;55713;52156;107869
6 anys;54683;51393;106076
7 anys;53548;51098;104646
8 anys;52727;49681;102408
9 anys;52913;47974;100887
10 anys;51244;49326;100570
11 anys;49628;47323;96951
12 anys;49750;47354;97104
13 anys;51408;48220;99628
14 anys;49710;47336;97046
15 anys;50068;47568;97636
16 anys;50339;48539;98878
17 anys;47557;45977;93534
18 anys;47106;45294;92400
19 anys;46575;45306;91881
20 anys;45363;45036;90399
21 anys;45875;45585;91460
22 anys;45374;45494;90868
23 anys;45021;45538;90559
24 anys;43286;43019;86305
25 anys;42811;42839;85650
26 anys;41934;42394;84328
27 anys;42673;42229;84902
28 anys;42827;43113;85940
29 anys;41519;41036;82555
30 anys;40437;40779;81216
31 anys;42879;42277;85156
32 anys;46014;45726;91740
33 anys;42502;42054;84556
34 anys;40226;39445;79671
35 anys;42932;42186;85118
36 anys;40322;40268;80590
37 anys;39758;39140;78898
38 anys;34671;33364;68035
39 anys;32392;31324;63716
40 anys;42152;40280;82432
41 anys;24073;23517;47590
42 anys;29371;29119;58490
43 anys;36468;35315;71783
44 anys;38651;39758;78409
45 anys;37298;37243;74541
46 anys;36711;36805;73516
47 anys;38452;39383;77835
48 anys;37752;39096;76848
49 anys;37199;37851;75050
50 anys;37118;39362;76480
51 anys;35769;36561;72330
52 anys;35391;37433;72824
53 anys;34014;35922;69936
54 anys;34924;36405;71329
55 anys;33593;36312;69905
56 anys;33162;34858;68020
57 anys;31675;33731;65406
58 anys;31334;34113;65447
59 anys;30604;31764;62368
60 anys;26252;32267;58519
61 anys;23142;27482;50624
62 anys;22546;28156;50702
63 anys;21132;25966;47098
64 anys;20777;26141;46918
65 anys;20272;25920;46192
66 anys;20433;26569;47002
67 anys;19552;25348;44900
68 anys;19239;25045;44284
69 anys;17808;24078;41886
70 anys;17587;24549;42136
71 anys;16279;23432;39711
72 anys;15459;21580;37039
73 anys;14119;20716;34835
74 anys;12875;19783;32658
75 anys;12169;18575;30744
76 anys;10726;17327;28053
77 anys;10126;15998;26124
78 anys;9157;15248;24405
79 anys;8202;13178;21380
80 anys;7602;14041;21643
81 anys;5500;9539;15039
82 anys;4654;8925;13579
83 anys;4168;7424;11592
84 anys;3764;6875;10639
85 anys;2835;5987;8822
86 anys;2349;4757;7106
87 anys;1644;3747;5391
88 anys;1482;3155;4637
89 anys;962;2362;3324
90 anys;826;1953;2779
91 anys;655;1623;2278
92 anys;494;1260;1754
93 anys;278;696;974
94 anys;148;516;664
95 anys i més;386;1179;1565
Total;2916527;3033302;5949829

