Taula de vida completa. Tots dos sexes
Catalunya. 1981-1985
Font: Idescat.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=iev&n=8661&t=198300&lang=en
;nPx;nDx;nMx;nqx;nax;lx;ndx;nLx;Tx;ex
0;69599;625;0,00897;0,00890;0,12;100000;890;99221;7638519;76,39
1;74178;52;0,00071;0,00071;0,47;99110;70;99073;7539299;76,07
2;79973;36;0,00045;0,00045;0,46;99040;45;99015;7440226;75,12
3;85776;29;0,00034;0,00034;0,46;98995;33;98977;7341211;74,16
4;91219;26;0,00029;0,00029;0,50;98962;28;98947;7242234;73,18
5;96149;25;0,00026;0,00026;0,52;98933;26;98921;7143286;72,20
6;99930;21;0,00021;0,00021;0,48;98907;21;98896;7044366;71,22
7;102242;24;0,00024;0,00024;0,49;98887;24;98875;6945469;70,24
8;103178;23;0,00022;0,00022;0,50;98863;22;98852;6846595;69,25
9;103092;27;0,00026;0,00026;0,52;98841;26;98828;6747743;68,27
10;102127;21;0,00021;0,00021;0,45;98815;21;98804;6648914;67,29
11;100571;19;0,00019;0,00019;0,52;98794;18;98785;6550111;66,30
12;99005;21;0,00021;0,00021;0,52;98776;21;98766;6451326;65,31
13;98075;22;0,00022;0,00022;0,50;98755;22;98744;6352560;64,33
14;97430;30;0,00031;0,00031;0,51;98733;30;98718;6253816;63,34
15;97052;29;0,00030;0,00030;0,50;98703;29;98688;6155097;62,36
16;97302;45;0,00047;0,00047;0,52;98674;46;98652;6056409;61,38
17;97262;54;0,00055;0,00055;0,47;98628;55;98599;5957757;60,41
18;96174;65;0,00067;0,00067;0,53;98573;66;98542;5859158;59,44
19;94874;61;0,00065;0,00064;0,48;98507;64;98474;5760617;58,48
20;93522;54;0,00057;0,00057;0,48;98443;56;98414;5662142;57,52
21;92088;65;0,00070;0,00070;0,51;98387;69;98354;5563728;56,55
22;91019;56;0,00062;0,00062;0,50;98318;60;98288;5465375;55,59
23;90540;54;0,00059;0,00059;0,48;98258;58;98227;5367087;54,62
24;89916;60;0,00067;0,00067;0,49;98199;66;98166;5268860;53,65
25;88867;55;0,00062;0,00062;0,48;98134;61;98102;5170694;52,69
26;87498;60;0,00069;0,00069;0,49;98073;68;98038;5072592;51,72
27;86081;60;0,00070;0,00070;0,51;98005;69;97971;4974554;50,76
28;84858;60;0,00071;0,00071;0,50;97936;70;97901;4876582;49,79
29;83963;59;0,00070;0,00070;0,50;97866;68;97833;4778681;48,83
30;83084;62;0,00075;0,00075;0,51;97798;73;97762;4680849;47,86
31;82645;60;0,00073;0,00073;0,49;97725;71;97688;4583087;46,90
32;83330;66;0,00079;0,00079;0,46;97653;77;97612;4485398;45,93
33;83738;70;0,00083;0,00083;0,51;97577;81;97537;4387786;44,97
34;83224;72;0,00087;0,00087;0,49;97495;85;97452;4290250;44,00
35;83384;78;0,00094;0,00094;0,49;97411;91;97364;4192798;43,04
36;83385;84;0,00101;0,00101;0,49;97320;98;97270;4095433;42,08
37;81676;87;0,00107;0,00107;0,48;97221;104;97168;3998164;41,12
38;78870;89;0,00113;0,00113;0,49;97117;110;97061;3900996;40,17
39;75736;106;0,00140;0,00140;0,53;97008;136;96944;3803935;39,21
40;73922;115;0,00155;0,00155;0,50;96871;150;96796;3706991;38,27
41;70412;113;0,00161;0,00161;0,49;96721;156;96641;3610195;37,33
42;65129;122;0,00188;0,00188;0,51;96565;181;96476;3513554;36,39
43;63520;135;0,00213;0,00213;0,49;96384;205;96280;3417078;35,45
44;65334;142;0,00218;0,00218;0,50;96179;209;96075;3320799;34,53
45;65995;173;0,00262;0,00262;0,50;95970;251;95844;3224724;33,60
46;67844;192;0,00283;0,00282;0,49;95718;270;95581;3128880;32,69
47;72333;206;0,00285;0,00285;0,50;95448;272;95313;3033299;31,78
48;74750;247;0,00331;0,00330;0,51;95176;314;95021;2937986;30,87
49;74958;269;0,00359;0,00359;0,51;94862;340;94694;2842965;29,97
50;74803;305;0,00408;0,00407;0,51;94522;385;94332;2748271;29,08
51;74812;319;0,00426;0,00426;0,51;94136;401;93938;2653939;28,19
52;74128;334;0,00450;0,00449;0,50;93736;421;93527;2560000;27,31
53;72897;373;0,00511;0,00510;0,49;93315;476;93072;2466473;26,43
54;71770;426;0,00594;0,00592;0,50;92839;549;92564;2373401;25,56
55;70657;450;0,00637;0,00635;0,50;92289;586;91999;2280837;24,71
56;69483;459;0,00660;0,00658;0,50;91704;603;91402;2188839;23,87
57;68276;499;0,00731;0,00729;0,50;91100;664;90770;2097436;23,02
58;67072;530;0,00790;0,00787;0,50;90437;712;90078;2006666;22,19
59;65649;587;0,00894;0,00890;0,51;89725;798;89331;1916588;21,36
60;63581;643;0,01011;0,01006;0,50;88926;894;88478;1827257;20,55
61;60636;677;0,01116;0,01110;0,50;88032;977;87543;1738779;19,75
62;57320;663;0,01157;0,01150;0,50;87055;1001;86557;1651236;18,97
63;53944;698;0,01294;0,01285;0,49;86054;1106;85491;1564679;18,18
64;50538;742;0,01469;0,01458;0,50;84947;1238;84328;1479188;17,41
65;47746;714;0,01495;0,01484;0,50;83709;1242;83082;1394861;16,66
66;46140;752;0,01629;0,01616;0,50;82467;1332;81800;1311778;15,91
67;45112;819;0,01815;0,01799;0,51;81134;1460;80421;1229978;15,16
68;44108;881;0,01998;0,01979;0,50;79674;1576;78892;1149557;14,43
69;43168;968;0,02243;0,02218;0,50;78098;1732;77240;1070665;13,71
70;42126;1090;0,02587;0,02554;0,50;76366;1951;75389;993425;13,01
71;40846;1118;0,02737;0,02700;0,50;74415;2009;73403;918037;12,34
72;39188;1204;0,03073;0,03027;0,50;72406;2191;71317;844634;11,67
73;37225;1305;0,03505;0,03445;0,50;70214;2419;68998;773316;11,01
74;35170;1360;0,03866;0,03793;0,50;67796;2572;66516;704318;10,39
75;32944;1456;0,04420;0,04325;0,51;65224;2821;63831;637802;9,78
76;30481;1467;0,04813;0,04702;0,51;62403;2934;60955;573971;9,20
77;28149;1507;0,05354;0,05216;0,51;59469;3102;57934;513016;8,63
78;25866;1583;0,06122;0,05942;0,51;56367;3349;54715;455082;8,07
79;23538;1632;0,06932;0,06702;0,51;53017;3553;51260;400366;7,55
80;21402;1677;0,07836;0,07539;0,50;49464;3729;47590;349106;7,06
81;19104;1684;0,08814;0,08442;0,50;45735;3861;43805;301516;6,59
82;16535;1599;0,09671;0,09227;0,50;41874;3864;39951;257711;6,15
83;14035;1530;0,10900;0,10327;0,49;38010;3925;36013;217761;5,73
84;11807;1493;0,12645;0,11885;0,49;34085;4051;32035;181748;5,33
85;9726;1351;0,13886;0,12965;0,49;30034;3894;28041;149712;4,98
86;7956;1255;0,15774;0,14616;0,50;26140;3821;24221;121671;4,65
87;6507;1141;0,17541;0,16087;0,48;22320;3591;20470;97450;4,37
88;5237;991;0,18919;0,17232;0,48;18729;3227;17059;76981;4,11
89;4124;874;0,21194;0,19115;0,49;15502;2963;13982;59922;3,87
90;3106;733;0,23587;0,21008;0,48;12539;2634;11168;45940;3,66
91;2355;573;0,24312;0,21582;0,48;9905;2138;8792;34773;3,51
92;1789;484;0,27080;0,23706;0,47;7767;1841;6799;25980;3,34
