Població per sexe i edat any a any
Catalunya. 1 de gener de 2017
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=ep&n=9123&t=201701&lang=en
Edats,Homes,Dones,Total
0 anys,35666,33811,69477
1 any,37241,34887,72128
2 anys,38034,35497,73531
3 anys,37669,35556,73225
4 anys,40253,37902,78155
5 anys,41938,39577,81515
6 anys,43117,40223,83340
7 anys,43505,40432,83937
8 anys,45335,42655,87990
9 anys,43478,40552,84030
10 anys,43259,40458,83717
11 anys,42532,39695,82227
12 anys,41621,39305,80926
13 anys,40621,37956,78577
14 anys,38719,36469,75188
15 anys,37934,35855,73789
16 anys,38275,36057,74332
17 anys,37084,34806,71890
18 anys,36527,33303,69830
19 anys,36757,34338,71095
20 anys,36684,33568,70252
21 anys,35886,34060,69946
22 anys,36664,35052,71716
23 anys,37542,36387,73929
24 anys,38982,38219,77201
25 anys,38896,38583,77479
26 anys,39585,39907,79492
27 anys,40198,40926,81124
28 anys,40865,42530,83395
29 anys,41654,42969,84623
30 anys,42336,44870,87206
31 anys,44659,46430,91089
32 anys,46364,48185,94549
33 anys,48482,50122,98604
34 anys,52262,53168,105430
35 anys,55472,55065,110537
36 anys,58443,58834,117277
37 anys,61460,60395,121855
38 anys,65688,63588,129276
39 anys,67719,64798,132517
40 anys,68237,65896,134133
41 anys,69183,65578,134761
42 anys,68386,64877,133263
43 anys,65935,63195,129130
44 anys,65054,62103,127157
45 anys,63250,60226,123476
46 anys,62216,59539,121755
47 anys,59787,57702,117489
48 anys,58972,56793,115765
49 anys,58596,57429,116025
50 anys,57176,55926,113102
51 anys,55794,55443,111237
52 anys,55992,55565,111557
53 anys,51816,52754,104570
54 anys,50494,51471,101965
55 anys,48351,50428,98779
56 anys,48317,50419,98736
57 anys,46939,49769,96708
58 anys,46499,48970,95469
59 anys,44831,47748,92579
60 anys,41956,44861,86817
61 anys,40951,43824,84775
62 anys,39290,42737,82027
63 anys,39089,42270,81359
64 anys,38791,42250,81041
65 anys,35989,39865,75854
66 anys,34648,38726,73374
67 anys,36233,40491,76724
68 anys,37597,43091,80688
69 anys,34201,38881,73082
70 anys,31713,36520,68233
71 anys,33069,38269,71338
72 anys,30353,36033,66386
73 anys,29161,34654,63815
74 anys,24692,29377,54069
75 anys,22611,27599,50210
76 anys,27968,33881,61849
77 anys,15153,19209,34362
78 anys,17981,23438,41419
79 anys,21025,28034,49059
80 anys,20949,29734,50683
81 anys,19362,27768,47130
82 anys,18045,26511,44556
83 anys,17149,26348,43497
84 anys,15542,24961,40503
85 anys,13642,22900,36542
86 anys,12112,21761,33873
87 anys,10279,18584,28863
88 anys,8570,16918,25488
89 anys,7057,14665,21722
90 anys,5882,13215,19097
91 anys,4620,10910,15530
92 anys,3616,9113,12729
93 anys,2692,7210,9902
94 anys,2041,5810,7851
95 anys,1377,4220,5597
96 anys,960,3099,4059
97 anys,533,2103,2636
98 anys,356,1476,1832
99 anys,239,984,1223
100 anys i més,499,1931,2430
Total,3673224,3823052,7496276

