Població per sexe i edat any a any
Catalunya. 1 de gener de 2018
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=ep&n=9123&t=201801&lang=en
Edats;Homes;Dones;Total
0 anys;34727;32512;67239
1 any;36356;34442;70798
2 anys;37657;35344;73001
3 anys;38465;35925;74390
4 anys;37948;35819;73767
5 anys;40482;38094;78576
6 anys;42117;39703;81820
7 anys;43139;40412;83551
8 anys;43698;40631;84329
9 anys;45511;42794;88305
10 anys;43683;40769;84452
11 anys;43429;40647;84076
12 anys;42758;39961;82719
13 anys;41919;39578;81497
14 anys;40925;38256;79181
15 anys;39185;36793;75978
16 anys;38398;36188;74586
17 anys;39027;36439;75466
18 anys;38042;35537;73579
19 anys;37512;34227;71739
20 anys;37587;35494;73081
21 anys;37544;34754;72298
22 anys;37005;35506;72511
23 anys;37977;36558;74535
24 anys;38889;38118;77007
25 anys;40541;39970;80511
26 anys;40484;40333;80817
27 anys;41026;41491;82517
28 anys;41650;42163;83813
29 anys;42205;43858;86063
30 anys;42697;43913;86610
31 anys;43175;45582;88757
32 anys;45305;47087;92392
33 anys;46999;48659;95658
34 anys;48825;50455;99280
35 anys;52608;53515;106123
36 anys;55633;55429;111062
37 anys;58449;58958;117407
38 anys;61384;60541;121925
39 anys;65507;63791;129298
40 anys;67443;64986;132429
41 anys;68017;65988;134005
42 anys;68919;65691;134610
43 anys;68029;64969;132998
44 anys;65632;63303;128935
45 anys;64779;62142;126921
46 anys;62910;60378;123288
47 anys;61904;59627;121531
48 anys;59483;57738;117221
49 anys;58643;56870;115513
50 anys;58306;57405;115711
51 anys;56940;55890;112830
52 anys;55427;55448;110875
53 anys;55612;55574;111186
54 anys;51472;52713;104185
55 anys;50104;51405;101509
56 anys;48021;50388;98409
57 anys;47833;50366;98199
58 anys;46479;49649;96128
59 anys;46026;48846;94872
60 anys;44434;47628;92062
61 anys;41540;44744;86284
62 anys;40436;43670;84106
63 anys;38822;42542;81364
64 anys;38542;42087;80629
65 anys;38238;42061;80299
66 anys;35392;39647;75039
67 anys;34089;38568;72657
68 anys;35643;40237;75880
69 anys;36915;42726;79641
70 anys;33601;38572;72173
71 anys;31042;36259;67301
72 anys;32325;37912;70237
73 anys;29616;35620;65236
74 anys;28433;34217;62650
75 anys;23945;28954;52899
76 anys;21874;27195;49069
77 anys;26980;33282;60262
78 anys;14552;18847;33399
79 anys;17178;22918;40096
80 anys;19966;27252;47218
81 anys;19810;28875;48685
82 anys;18146;26784;44930
83 anys;16827;25409;42236
84 anys;15831;25139;40970
85 anys;14269;23597;37866
86 anys;12340;21443;33783
87 anys;10758;20146;30904
88 anys;9051;16972;26023
89 anys;7366;15240;22606
90 anys;5940;12915;18855
91 anys;4888;11480;16368
92 anys;3745;9272;13017
93 anys;2866;7586;10452
94 anys;2067;5804;7871
95 anys;1536;4586;6122
96 anys;976;3242;4218
97 anys;670;2325;2995
98 anys;356;1560;1916
99 anys;243;1041;1284
100 anys i més;387;1767;2154
Total;3694082;3849743;7543825

