Població per sexe i edat any a any
Catalunya. 1 de gener de 2019 (p)
Font: Idescat. Estimacions de població.
Les xifres de població a 1 de juliol de 2018 i 1 de gener de 2019 són dades provisionals, estan vigents fins que siguin substituïdes per les estimacions postcensals definitives i estan disponibles només per a Catalunya, les províncies i els àmbits del pla territorial.
(p) Dada provisional
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=ep&n=9123&lang=en
Edats;Homes;Dones;Total
0 anys;32656;30553;63209
1 any;35482;33165;68647
2 anys;36941;34980;71921
3 anys;38110;35771;73881
4 anys;38854;36265;75119
5 anys;38248;36061;74309
6 anys;40696;38311;79007
7 anys;42316;39917;82233
8 anys;43333;40625;83958
9 anys;43944;40847;84791
10 anys;45750;43010;88760
11 anys;43941;41030;84971
12 anys;43723;40928;84651
13 anys;43096;40279;83375
14 anys;42345;39915;82260
15 anys;41409;38610;80019
16 anys;39837;37176;77013
17 anys;39238;36719;75957
18 anys;40070;37180;77250
19 anys;39125;36551;75676
20 anys;38571;35413;73984
21 anys;38703;36883;75586
22 anys;38850;36286;75136
23 anys;38500;37235;75735
24 anys;39661;38405;78066
25 anys;40685;40059;80744
26 anys;42391;41872;84263
27 anys;42290;42066;84356
28 anys;42757;43079;85836
29 anys;43245;43535;86780
30 anys;43599;45038;88637
31 anys;43848;44855;88703
32 anys;44161;46350;90511
33 anys;46101;47720;93821
34 anys;47671;49175;96846
35 anys;49333;50922;100255
36 anys;53003;53899;106902
37 anys;55871;55741;111612
38 anys;58556;59205;117761
39 anys;61373;60810;122183
40 anys;65437;64031;129468
41 anys;67333;65189;132522
42 anys;67867;66145;134012
43 anys;68734;65853;134587
44 anys;67829;65108;132937
45 anys;65427;63463;128890
46 anys;64565;62294;126859
47 anys;62683;60519;123202
48 anys;61677;59737;121414
49 anys;59263;57809;117072
50 anys;58446;56918;115364
51 anys;58084;57421;115505
52 anys;56670;55915;112585
53 anys;55109;55464;110573
54 anys;55286;55566;110852
55 anys;51159;52693;103852
56 anys;49748;51383;101131
57 anys;47632;50347;97979
58 anys;47397;50293;97690
59 anys;46061;49556;95617
60 anys;45629;48750;94379
61 anys;44015;47528;91543
62 anys;41094;44615;85709
63 anys;39942;43517;83459
64 anys;38318;42372;80690
65 anys;37993;41909;79902
66 anys;37679;41891;79570
67 anys;34817;39451;74268
68 anys;33485;38321;71806
69 anys;35025;39935;74960
70 anys;36267;42421;78688
71 anys;32930;38265;71195
72 anys;30323;35915;66238
73 anys;31582;37509;69091
74 anys;28870;35197;64067
75 anys;27689;33796;61485
76 anys;23112;28476;51588
77 anys;21089;26736;47825
78 anys;26170;32783;58953
79 anys;13718;18284;32002
80 anys;16161;22180;38341
81 anys;18807;26355;45162
82 anys;18597;27871;46468
83 anys;16873;25662;42535
84 anys;15534;24156;39690
85 anys;14509;23765;38274
86 anys;12937;22084;35021
87 anys;11021;19847;30868
88 anys;9474;18476;27950
89 anys;7847;15254;23101
90 anys;6242;13482;19724
91 anys;4926;11170;16096
92 anys;3999;9813;13812
93 anys;2981;7719;10700
94 anys;2227;6174;8401
95 anys;1547;4577;6124
96 anys;1129;3574;4703
97 anys;682;2462;3144
98 anys;474;1730;2204
99 anys;243;1120;1363
100 anys i més;426;1907;2333
Total;3721073;3879194;7600267

