Esperanza de vida a distintas edades
Cataluña. 2015
Unidades: Años.
Fuente: Departamento de Salud.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=10380&lang=es
,Hombres,Mujeres,Total
0 años,80.42,85.86,83.20
10 años,70.70,76.08,73.46
20 años,60.81,66.17,63.55
30 años,51.00,56.26,53.70
40 años,41.23,46.39,43.89
50 años,31.78,36.75,34.35
60 años,23.09,27.54,25.42
70 años,15.33,18.56,17.10
80 años,8.64,10.48,9.74
90 años,4.10,4.89,4.65
Esperanza de vida a distintas edades
España. 2015
Unidades: Años.
Fuente: INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=10380&lang=es
,Hombres,Mujeres,Total
0 años,79.92,85.41,82.70
10 años,70.22,75.67,72.98
20 años,60.33,65.74,63.07
30 años,50.54,55.83,53.22
40 años,40.81,45.98,43.44
50 años,31.39,36.36,33.93
60 años,22.77,27.14,25.04
70 años,15.04,18.26,16.78
80 años,8.50,10.25,9.54
90 años,4.12,4.73,4.54

