Mes;Nom mes;Any;Regió Policial (RP);Àrea Bàsica Policial (ABP);Títol Codi Penal;Tipus de fet;Coneguts;Resolts;Detencions
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;De les falsedats;De la usurpació de l'estat civil;2;;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;De les lesions;Lesions;18;17;9
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;5;5;1
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;6;5;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;29;5;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluid elèctric i anàlogues;1;1;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;5;3;1
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;52;10;4
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;3;2;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;139;26;6
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;34;2;2
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;14;7;3
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;9;7;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat;Amenaces;5;3;2
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat;Coaccions;3;3;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;1;;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat i la indemnitat sexuals;Relatius a la prostitució;1;;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'Administració de justícia;Acusació, denúncia falsa i simulació de delictes;2;1;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'Administració de justícia;Realització arbitrària del propi dret;1;1;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'Administració de justícia;Trencament de condemna;2;2;2
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra les relacions familiars;Contra els drets i deures familiars;8;7;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'ordre públic;Desordres públics;1;1;1
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;3;4;2
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;2;4;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Faltes contra el patrimoni;Faltes contra el patrimoni;221;27;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Faltes contra els interessos generals;Faltes contra els interessos generals;2;1;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Faltes contra les persones;Faltes contra les persones;66;55;
1;gener;2012;RP  Metropolitana Nord;ABP Arenys de Mar;Faltes contra l'ordre públic;Faltes contra l'ordre públic;2;2;
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;De l’homicidi i les seves formes;Assassinat temptativa;1;1;1
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;De les falsedats;De la usurpació de l'estat civil;2;;
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;De les falsedats;Falsedats documentals;7;5;2
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;De les lesions;Lesions;30;31;22
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;3;3;1
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;49;6;1
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;27;7;
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;64;4;3
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;13;11;8
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;3;2;
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;138;20;33
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;157;7;12
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;196;26;24
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;30;17;7
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra la comunitat internacional;Contra la comunitat internacional;;;1
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra la Constitució;Contra exercici drets fonamentals i llibertats públiques;;2;
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a domicili aliè;1;1;
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra la llibertat;Amenaces;22;21;13
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra la llibertat;Coaccions;2;1;1
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra la llibertat;Detenció il·legal;2;1;1
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;1;;
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra la llibertat i la indemnitat sexuals;Assetjament sexual;1;1;
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra l'Administració de justícia;Acusació, denúncia falsa i simulació de delictes;1;1;
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra l'Administració de justícia;Obstrucció a la justícia i deslleialtat professional;2;3;
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra l'Administració de justícia;Trencament de condemna;9;9;7
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra les relacions familiars;Contra els drets i deures familiars;5;4;
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra l'ordre públic;Desordres públics;;1;
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;7;7;10
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;3;3;2
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Faltes contra el patrimoni;Faltes contra el patrimoni;430;86;3
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Faltes contra els interessos generals;Faltes contra els interessos generals;1;1;
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Faltes contra les persones;Faltes contra les persones;57;45;
1;gener;2012;RP  Metropolitana Nord;ABP Badalona;Faltes contra l'ordre públic;Faltes contra l'ordre públic;5;4;
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;De l’homicidi i les seves formes;Homicidi temptativa;1;1;2
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;De les falsedats;De la usurpació de l'estat civil;1;2;
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;De les falsedats;Falsedats documentals;3;3;1
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;De les lesions;Lesions;15;14;9
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;3;3;1
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;4;5;
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;22;1;
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;15;2;4
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;48;8;6
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;2;2;
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;2;2;1
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;121;19;16
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;124;20;8
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;52;10;13
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;22;16;4
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Usurpació;1;1;4
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra l’honor;Calúmnia;;1;
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;1;;
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a domicili aliè;1;1;1
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la llibertat;Amenaces;13;12;5
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;3;3;2
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la llibertat i la indemnitat sexuals;Relatius a la prostitució;3;;
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra l'Administració de justícia;Acusació, denúncia falsa i simulació de delictes;1;1;
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra l'Administració de justícia;Obstrucció a la justícia i deslleialtat professional;2;2;
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra l'Administració de justícia;Trencament de condemna;9;9;6
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra les relacions familiars;Contra els drets i deures familiars;5;5;
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra l'ordre públic;Organitzacions i grups criminals;1;1;
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;9;9;9
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;1;1;2
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Faltes contra el patrimoni;Faltes contra el patrimoni;352;35;1
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Faltes contra els interessos generals;Faltes contra els interessos generals;1;;
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Faltes contra les persones;Faltes contra les persones;52;44;
1;gener;2012;RP  Metropolitana Nord;ABP Cerdanyola;Faltes contra l'ordre públic;Faltes contra l'ordre públic;4;5;
1;gener;2012;RP  Metropolitana Nord;ABP Granollers;De l’homicidi i les seves formes;Homicidi consumat;1;1;2
1;gener;2012;RP  Metropolitana Nord;ABP Granollers;De les falsedats;De la usurpació de l'estat civil;5;2;
