unit,cities\time	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 
NR,AT001C	20 	18 	22 	15 	18 	25 	22 	23 	26 	27 	25 	35 	27 	32 	35 
NR,BE001C	20 	37 	32 	40 	48 	68 	41 	33 	: 	: 	: 	: 	: 	: 	: 
NR,BG001C	24 	27 	38 	37 	46 	45 	55 	39 	37 	: 	: 	: 	: 	: 	: 
NR,CH002C	0 	1 	5 	3 	2 	2 	3 	2 	9 	3 	8 	2 	5 	4 	4 
NR,CH004C	0 	3 	1 	3 	1 	2 	0 	0 	4 	4 	3 	4 	1 	3 	6 
NR,CY001C	2 	7 	3 	4 	3 	0 	1 	3 	1 	0 	0 	3 	0 	0 	2 
NR,DE001C	62 	77 	51 	66 	72 	89 	114 	225 	112 	123 	151 	187 	98 	92 	77 
NR,DK001C	7 	9 	16 	6 	8 	4 	10 	8 	9 	10 	56 	25 	10 	15 	18 
NR,EE001C	35 	29 	40 	34 	42 	39 	35 	39 	40 	58 	38 	49 	84 	89 	85 
NR,EL001C	68 	43 	49 	41 	47 	46 	47 	52 	: 	: 	: 	: 	: 	: 	: 
NR,ES001C	38 	46 	43 	48 	72 	49 	72 	62 	55 	50 	44 	: 	: 	: 	: 
NR,FI001C	10 	12 	11 	18 	10 	12 	9 	11 	16 	8 	11 	23 	13 	13 	11 
NR,FR001C	33 	29 	34 	21 	55 	31 	49 	36 	43 	50 	46 	63 	102 	88 	80 
NR,HR001C	6 	11 	17 	8 	15 	12 	16 	5 	: 	: 	: 	: 	: 	: 	: 
NR,HU001C	17 	31 	31 	32 	39 	31 	46 	35 	50 	59 	59 	41 	61 	70 	53 
NR,IE001C	31 	33 	29 	21 	27 	33 	21 	16 	24 	31 	21 	19 	26 	14 	8 
NR,IS001C	2 	0 	1 	2 	0 	4 	1 	2 	2 	0 	0 	0 	0 	0 	1 
NR,IT001C	36 	30 	37 	31 	29 	34 	47 	36 	29 	33 	35 	33 	30 	28 	34 
NR,LI001C1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
NR,LT001C	41 	38 	47 	47 	54 	52 	36 	56 	54 	51 	56 	72 	85 	109 	78 
NR,LU001C	3 	4 	1 	1 	0 	1 	0 	0 	: 	: 	: 	: 	: 	: 	: 
NR,LV001C	39 	55 	38 	77 	95 	101 	85 	90 	86 	: 	: 	: 	: 	: 	: 
NR,MK001C	21 	18 	15 	20 	29 	9 	12 	12 	: 	: 	: 	: 	: 	: 	: 
NR,MT001C	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,NL002C	27 	4 	24 	19 	27 	19 	23 	29 	19 	27 	32 	27 	64 	61 	50 
NR,NO001C	8 	9 	9 	8 	11 	13 	11 	5 	8 	8 	12 	8 	9 	3 	13 
NR,PL001C	37 	36 	37 	36 	49 	39 	60 	62 	72 	64 	64 	69 	67 	97 	60 
NR,PT001C	14 	16 	15 	10 	11 	11 	20 	16 	10 	18 	22 	44 	29 	41 	30 
NR,RO001C	22 	25 	27 	24 	25 	33 	31 	27 	37 	47 	48 	64 	56 	63 	69 
NR,RS001C	51 	52 	49 	42 	40 	42 	70 	93 	: 	: 	: 	: 	: 	: 	: 
NR,SI001C	3 	1 	4 	7 	3 	2 	2 	6 	7 	3 	3 	4 	6 	: 	: 
NR,SK001C	16 	15 	11 	18 	17 	20 	17 	15 	18 	14 	27 	9 	15 	15 	21 
NR,TR001C	192 	200 	196 	177 	158 	153 	152 	123 	98 	132 	123 	115 	123 	29 	29 
NR,UK001C	164 	169 	177 	195 	212 	196 	202 	189 	183 	155 	190 	139 	167 	169 	160 
NR,UK007C	10 	11 	12 	10 	5 	10 	6 	4 	9 	8 	8 	5 	16 	10 	10 
NR,UK009C	3 	5 	5 	6 	4 	2 	4 	6 	: 	: 	: 	: 	: 	: 	: 
NR,UK012C	6 	9 	15 	8 	4 	16 	15 	21 	11 	18 	16 	20 	9 	34 	42 
