"TIME","GEO","ICCS","UNIT","Value","Flag and Footnotes"
"2008","Belgium","Intentional homicide","Number","204",""
"2008","Belgium","Intentional homicide","Per hundred thousand inhabitants","1.91",""
"2008","Belgium","Assault","Number","76 314",""
"2008","Belgium","Assault","Per hundred thousand inhabitants","715.43",""
"2008","Belgium","Sexual violence","Number","10 779",""
"2008","Belgium","Sexual violence","Per hundred thousand inhabitants","101.05",""
"2008","Belgium","Rape","Number","3 231",""
"2008","Belgium","Rape","Per hundred thousand inhabitants","30.29",""
"2008","Belgium","Sexual assault","Number","7 548",""
"2008","Belgium","Sexual assault","Per hundred thousand inhabitants","70.76",""
"2008","Belgium","Theft","Number","245 682",""
"2008","Belgium","Theft","Per hundred thousand inhabitants","2 303.23",""
"2008","Bulgaria","Intentional homicide","Number","172",""
"2008","Bulgaria","Intentional homicide","Per hundred thousand inhabitants","2.29",""
"2008","Bulgaria","Assault","Number","3 216",""
"2008","Bulgaria","Assault","Per hundred thousand inhabitants","42.78",""
"2008","Bulgaria","Sexual violence","Number","749",""
"2008","Bulgaria","Sexual violence","Per hundred thousand inhabitants","9.96",""
"2008","Bulgaria","Rape","Number","262",""
"2008","Bulgaria","Rape","Per hundred thousand inhabitants","3.48",""
"2008","Bulgaria","Sexual assault","Number","487",""
"2008","Bulgaria","Sexual assault","Per hundred thousand inhabitants","6.48",""
"2008","Bulgaria","Theft","Number","42 553",""
"2008","Bulgaria","Theft","Per hundred thousand inhabitants","566.01",""
"2008","Czechia","Intentional homicide","Number","113",""
"2008","Czechia","Intentional homicide","Per hundred thousand inhabitants","1.09",""
"2008","Czechia","Assault","Number","5 397",""
"2008","Czechia","Assault","Per hundred thousand inhabitants","52.18",""
"2008","Czechia","Sexual violence","Number","1 680",""
"2008","Czechia","Sexual violence","Per hundred thousand inhabitants","16.24",""
"2008","Czechia","Rape","Number","529",""
"2008","Czechia","Rape","Per hundred thousand inhabitants","5.11",""
"2008","Czechia","Sexual assault","Number","1 151",""
"2008","Czechia","Sexual assault","Per hundred thousand inhabitants","11.13",""
"2008","Czechia","Theft","Number","148 264",""
"2008","Czechia","Theft","Per hundred thousand inhabitants","1 433.41",""
