date,n,rts
2019-04-01,115,703
2019-04-02,34,2889
2019-04-03,52,217
2019-04-04,35,248
2019-04-05,18,1218
2019-04-06,25,2086
2019-04-07,55,557
2019-04-08,44,242
2019-04-09,47,1257
2019-04-10,37,114
2019-04-11,110,3814
2019-04-12,93,1289
2019-04-13,22,115
2019-04-14,21,138
2019-04-15,76,315
2019-04-16,49,6812
2019-04-17,100,505
2019-04-18,41,100
2019-04-19,38,310
2019-04-20,81,7984
2019-04-21,42,423
2019-04-22,36,252
2019-04-23,43,601
2019-04-24,167,2120
2019-04-25,82,387
2019-04-26,46,184
2019-04-27,31,156
2019-04-28,30,225
2019-04-29,48,1676
2019-04-30,34,174
2019-05-01,40,106
2019-05-02,48,137
2019-05-03,34,194
2019-05-04,27,1987
2019-05-05,24,404
2019-05-06,29,404
2019-05-07,72,1077
2019-05-08,115,605
2019-05-09,66,913
2019-05-10,45,178
2019-05-11,41,1416
2019-05-12,61,319
2019-05-13,47,327
2019-05-14,57,317
2019-05-15,55,4147
2019-05-16,95,2211
2019-05-17,61,664
2019-05-18,56,369
2019-05-19,65,1367
2019-05-20,85,760
2019-05-21,97,989
2019-05-22,143,1297
2019-05-23,87,1427
2019-05-24,73,442
2019-05-25,51,138
2019-05-26,37,118
2019-05-27,65,855
2019-05-28,47,369
2019-05-29,33,97
2019-05-30,34,58
2019-05-31,26,82
2019-06-01,24,568
2019-06-02,24,215
2019-06-03,39,142
2019-06-04,45,539
2019-06-05,31,197
2019-06-06,39,316
2019-06-07,46,1892
2019-06-08,25,156
2019-06-09,46,102
2019-06-10,65,130
2019-06-11,55,701
2019-06-12,26,114
2019-06-13,37,91
2019-06-14,32,881
2019-06-15,78,1863
2019-06-16,58,288
2019-06-17,50,1645
2019-06-18,43,1423
2019-06-19,30,401
2019-06-20,71,183
2019-06-21,40,104
2019-06-22,26,381
2019-06-23,26,60
2019-06-24,26,422
2019-06-25,51,480
2019-06-26,44,507
2019-06-27,93,502
2019-06-28,90,698
2019-06-29,227,2951
2019-06-30,85,859
2019-07-01,50,189
2019-07-02,78,1426
2019-07-03,99,438
2019-07-04,82,705
2019-07-05,156,4119
2019-07-06,223,1566
2019-07-07,160,1302
2019-07-08,146,1377
2019-07-09,121,897
2019-07-10,64,431
2019-07-11,87,2251
2019-07-12,33,508
2019-07-13,100,1787
2019-07-14,273,2048
2019-07-15,110,3189
2019-07-16,72,393
2019-07-17,115,1216
2019-07-18,121,4090
2019-07-19,197,2332
2019-07-20,115,646
2019-07-21,102,1790
2019-07-22,79,347
2019-07-23,78,646
2019-07-24,117,765
2019-07-25,71,1268
2019-07-26,86,3056
2019-07-27,56,237
2019-07-28,116,1988
2019-07-29,202,5574
2019-07-30,156,2764
2019-07-31,151,3015
2019-08-01,167,3549
2019-08-02,124,352
2019-08-03,147,3490
2019-08-04,103,2469
2019-08-05,84,1681
2019-08-06,59,670
2019-08-07,92,3943
2019-08-08,118,3098
2019-08-09,71,778
2019-08-10,41,122
2019-08-11,51,377
2019-08-12,102,6214
2019-08-13,335,3471
2019-08-14,253,1681
2019-08-15,153,599
2019-08-16,581,5927
2019-08-17,397,11886
2019-08-18,565,9792
2019-08-19,712,7643
2019-08-20,712,8708
2019-08-21,643,3576
2019-08-22,1465,13256
2019-08-23,1039,11352
2019-08-24,651,6705
2019-08-25,558,12155
2019-08-26,548,7065
2019-08-27,294,2428
2019-08-28,216,1802
2019-08-29,236,2236
2019-08-30,209,1569
2019-08-31,171,1937
2019-09-01,7,65
