Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
es,"Santiago Abascal Conde","",1839,4167,7403,6700,3494,2754,2595,2294,2216,2242,2101,1551,2075,2347,1881,2071,2885,3453,4561,7199,4436,2840,3336,4071,3963,3305,4709,4055,4341,5755,4798
en,"Santiago Abascal","",172,249,243,238,219,209,206,167,209,165,174,123,198,176,149,168,168,260,259,384,263,191,212,285,264,235,214,260,304,350,302
ca,"Santiago Abascal Conde","",55,154,225,189,102,91,78,77,50,71,28,31,30,71,48,45,39,80,86,138,117,55,73,66,87,67,46,39,38,80,63
fr,"Santiago Abascal","",28,42,38,60,37,35,34,22,37,39,37,55,46,19,29,30,49,36,50,64,61,42,34,38,51,78,61,37,67,109,79
pl,"Santiago Abascal","",11,9,3,0,3,4,4,4,2,3,2,3,1,4,6,9,2,4,75,543,158,41,29,21,16,7,6,3,11,10,6
de,"Santiago Abascal Conde","",15,23,17,36,18,18,8,14,16,14,13,12,18,21,12,11,10,20,34,54,8,13,11,20,19,16,23,24,19,33,31
it,"Santiago Abascal","",16,15,15,15,17,17,16,18,16,11,7,23,20,49,9,18,16,12,21,9,13,11,10,14,7,7,10,18,11,27,23
eu,"Santiago Abascal Conde","",4,13,15,25,9,9,7,7,8,4,10,13,7,9,3,8,4,8,27,23,14,20,9,12,23,91,21,12,12,14,7
gl,"Santiago Abascal","",9,10,33,25,13,6,9,9,5,8,4,1,4,8,7,9,17,12,26,13,19,8,15,14,10,7,21,12,21,22,9
pt,"Santiago Abascal","",17,8,12,36,20,10,18,15,15,3,7,5,7,8,8,5,8,22,10,12,15,7,13,9,11,12,18,9,11,13,18
ja,"サンティアゴ・アバスカル","",0,2,2,3,1,1,3,0,0,2,2,0,1,1,0,2,0,2,4,1,1,0,4,1,0,1,2,0,0,3,8
ie,"Santiago Abascal Conde","",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1
