Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
es,"Inés Arrimadas","",1201,1061,1329,1705,803,650,721,825,850,2109,1257,746,1057,598,701,660,473,666,671,958,1027,527,791,673,990,487,1543,1065,538,650,639
en,"Inés Arrimadas","",151,107,147,132,107,108,97,103,98,131,102,85,95,60,82,104,101,85,73,82,92,73,68,76,98,99,98,94,81,71,72
ca,"Inés Arrimadas García","",89,95,121,93,64,46,53,52,54,104,103,41,52,42,61,58,33,67,34,77,78,49,42,48,45,48,57,66,22,43,35
fr,"Inés Arrimadas","",26,16,23,24,28,24,22,34,49,36,30,19,12,12,13,16,26,13,16,13,19,17,11,17,26,18,19,15,9,20,24
de,"Inés Arrimadas","",86,91,49,65,24,19,16,19,9,22,13,4,6,9,10,5,8,11,9,12,10,5,8,4,15,7,16,12,6,11,11
it,"Inés Arrimadas","",12,8,7,11,9,9,15,13,4,14,7,7,7,2,6,2,7,4,7,13,6,3,3,6,4,2,7,5,4,11,4
ru,"Арримадас, Инес","",8,4,4,4,3,6,6,5,5,2,9,10,3,1,7,4,4,5,3,4,8,5,5,8,7,11,7,6,7,7,12
pt,"Inés Arrimadas","",2,5,5,6,7,2,5,5,2,4,6,6,5,1,5,3,0,5,5,5,4,4,6,2,6,6,3,4,0,1,2
ast,"Inés Arrimadas","",2,0,1,4,2,6,3,0,1,3,6,1,2,0,0,2,2,1,1,7,5,3,2,5,6,2,10,4,1,3,3
gl,"Inés Arrimadas","",3,3,5,4,3,0,2,2,0,6,3,2,7,2,1,2,0,0,1,1,4,2,2,0,0,2,6,1,3,1,0
ja,"イネス・アリマーダス・ガルシーア","",0,1,0,0,1,0,6,3,2,1,3,0,0,1,1,0,0,3,2,1,5,5,0,0,1,0,2,0,0,1,0
eu,"Inés Arrimadas","",7,1,1,1,5,0,3,0,2,0,0,0,0,2,0,1,0,0,2,4,2,0,1,0,0,0,1,0,0,0,1
zh,"伊内斯·阿里马达斯","",0,0,1,1,2,1,5,2,2,0,0,0,2,0,0,1,2,3,0,1,2,1,0,0,0,0,0,1,0,1,0
sv,"Inés Arrimadas","",0,0,2,0,0,0,1,2,0,0,2,0,1,0,0,1,1,0,1,3,1,0,0,0,3,0,0,1,0,1,0
et,"Inés Arrimadas","",1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0
no,"Inés Arrimadas","",0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,2,0,0,0
hy,"Ինես Արիմադաս","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lmo,"Inés Arrimadas García","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
