Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
es,"Pablo Casado","",3075,2609,2131,1838,1346,1181,1377,1094,1418,1689,2349,1179,1371,2155,1303,1671,1211,1569,1694,1782,1145,1296,1462,4931,2591,3257,3681,3348,1741,1767,2148
en,"Pablo Casado","",402,353,289,294,264,242,249,222,204,232,275,192,261,262,231,230,238,247,277,221,226,217,229,312,292,283,383,381,239,236,297
ca,"Pablo Casado Blanco","",149,120,69,56,37,34,40,30,48,32,50,36,32,54,26,69,30,43,30,43,15,30,26,132,51,74,48,51,27,39,43
fr,"Pablo Casado","",42,47,42,38,20,39,35,37,35,36,43,35,36,44,55,44,48,48,43,43,38,40,43,53,48,49,42,47,39,36,59
de,"Pablo Casado","",31,30,16,19,14,18,21,18,9,17,21,14,13,21,21,17,25,23,17,16,5,9,14,21,21,21,17,21,15,21,14
it,"Pablo Casado","",21,18,14,12,14,9,12,11,12,12,16,12,11,13,11,15,10,12,11,14,14,6,16,22,6,20,23,23,19,23,22
ru,"Касадо, Пабло","",10,9,8,8,7,7,5,3,4,13,7,5,5,7,11,4,6,22,2,2,3,9,9,17,14,8,9,8,4,6,9
pt,"Pablo Casado Blanco","",20,8,8,9,6,1,5,6,4,3,2,8,4,12,6,3,1,11,6,10,9,7,5,9,8,13,13,7,3,5,12
gl,"Pablo Casado Blanco","",14,8,7,5,3,2,2,5,6,4,7,5,5,8,3,2,4,4,1,0,0,2,6,8,6,8,11,10,9,1,7
eu,"Pablo Casado","",3,5,0,2,7,17,6,5,5,4,6,5,3,2,3,3,1,0,1,1,4,7,7,14,3,11,13,5,2,5,2
zh,"巴勃羅·卡薩多","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,8,4,11,5,6,14,22,19,12,17
pl,"Pablo Casado Blanco","",6,7,5,7,2,2,9,2,0,3,4,6,3,6,2,1,1,5,5,13,10,2,3,7,3,6,4,2,4,3,6
fi,"Pablo Casado","",0,3,3,0,0,0,16,2,4,1,0,0,1,0,0,9,5,4,0,1,2,2,0,12,7,1,2,2,0,3,8
ja,"パブロ・カサード","",3,2,0,0,0,2,0,0,0,6,4,0,1,2,6,3,2,4,0,6,1,1,1,0,3,1,1,3,0,3,4
el,"Πάμπλο Κασάδο","",2,1,2,2,0,2,2,0,1,1,1,0,2,0,0,0,0,1,1,0,0,1,0,3,0,1,1,1,0,3,10
uk,"Пабло Касадо","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,1,0,0,0,0,2,0,0,0,1,1
cs,"Pablo Casado","",0,2,1,1,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2
ast,"Pablo Casado Blanco","",0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,2,1,1
simple,"Pablo Casado","",1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,1,2
ar,"بابلو كاسادو بلانكو","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,2,0,0,2,1,1,1
