Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
es,"Ada Colau","",715,645,404,391,368,314,338,343,367,1636,554,325,302,498,481,402,385,444,501,359,309,280,264,307,287,262,259,264,348,675,678
en,"Ada Colau","",88,77,87,110,88,91,131,89,81,99,107,89,97,100,94,81,89,118,227,105,106,81,70,79,126,92,82,96,74,80,207
fr,"Ada Colau","",50,43,41,40,53,33,40,51,74,78,66,38,71,56,61,49,52,65,38,50,45,60,40,51,35,90,51,45,56,32,58
ca,"Ada Colau i Ballano","",59,76,78,43,47,31,29,38,30,50,42,30,22,25,41,20,23,35,29,48,27,28,34,23,34,28,31,21,19,46,30
pt,"Ada Colau","",3,2,1,2,1,1,6,4,5,4,3,4,1,12,56,85,62,132,98,101,44,25,13,7,11,10,6,6,12,9,10
it,"Ada Colau","",11,28,14,10,8,20,17,20,14,15,13,12,21,10,11,8,12,18,19,29,16,9,7,20,19,16,16,10,15,23,20
de,"Ada Colau","",11,17,13,26,9,17,8,22,10,13,14,19,17,14,14,19,14,30,10,23,4,5,19,19,18,18,6,10,11,13,2
ru,"Колау, Ада","",13,15,15,9,13,9,5,9,12,10,7,10,16,16,10,17,8,6,8,7,16,15,13,14,9,10,13,12,7,16,9
pl,"Ada Colau","",5,7,5,4,6,1,5,7,5,8,9,5,1,0,4,1,4,8,2,8,5,5,7,6,1,1,5,6,1,8,7
nl,"Ada Colau","",0,3,1,4,3,1,1,4,6,3,2,1,2,0,4,6,11,8,0,2,2,4,3,3,6,6,2,1,2,1,6
he,"אדה קולאו","",3,3,1,1,1,2,2,0,1,2,4,3,2,1,0,2,1,1,1,2,4,0,1,0,1,4,5,1,1,2,5
el,"Άδα Κολάου","",2,0,1,1,0,1,1,3,0,1,0,1,1,2,0,0,0,1,0,3,2,2,2,2,2,1,4,5,1,5,1
eu,"Ada Colau","",6,2,0,6,6,1,1,1,1,2,3,1,1,0,0,0,1,1,2,1,1,0,0,0,4,0,1,2,0,0,1
gl,"Ada Colau","",2,2,0,0,1,1,1,0,0,6,2,2,1,8,3,1,1,1,0,1,1,0,0,2,2,1,2,1,0,2,1
ja,"アダ・クラウ・バリャーヌ","",0,1,0,1,1,2,0,2,1,1,4,0,1,0,0,1,2,3,1,2,0,7,3,0,0,5,1,0,0,3,1
sv,"Ada Colau","",1,5,2,0,0,0,4,0,2,2,0,0,0,2,3,0,1,4,1,2,2,1,0,0,1,0,0,2,2,1,2
ar,"آدا كولو","",1,1,6,0,0,0,2,3,0,0,2,1,1,5,2,0,1,2,1,0,1,1,1,0,0,2,3,0,0,0,0
ro,"Ada Colau","",0,1,2,2,0,0,0,0,1,1,0,0,2,2,0,0,1,1,0,0,1,0,0,0,3,0,0,1,0,1,4
cs,"Ada Colauová","",1,2,1,0,0,1,1,4,1,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0
ast,"Ada Colau","",1,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,1,0,0,1,2,0
no,"Ada Colau","",1,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,4,1,0,1,0,0,0
yo,"Ada Colau","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,4,0,0,1
br,"Ada Colau","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fi,"Ada Colau","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
eo,"Ada Colau i Ballano","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo,"Ada Colau","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oc,"Ada Colau","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc,"Ada Colau","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
