Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
ca,"Jordi Cuixart i Navarro","",1334,1065,928,635,763,831,859,797,694,543,527,631,509,707,693,642,462,616,1168,2007,1987,1601,1479,1682,53,66,584,827,987,1202,1035
es,"Jordi Cuixart","",1307,876,802,543,489,854,708,340,258,342,252,185,165,232,181,178,154,138,199,249,192,126,168,1680,749,439,201,189,312,117,106
fi,"Jordi Cuixart","",2,0,2,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,156,288,288,254,289,285,285,281,233,168,141,288,287
en,"Jordi Cuixart","",68,73,53,59,57,59,47,33,30,23,29,27,27,29,24,23,29,27,36,30,33,20,202,327,326,101,25,21,39,16,15
fr,"Jordi Cuixart","",13,18,11,19,7,11,13,10,1,7,2,4,10,3,8,3,10,10,6,10,6,4,8,6,7,4,5,6,4,3,4
it,"Jordi Cuixart i Navarro","",3,9,4,2,2,5,7,10,1,0,3,1,1,2,0,3,2,0,1,3,3,2,3,1,2,1,0,2,0,0,0
gl,"Jordi Cuixart","",4,5,2,1,3,4,4,4,3,1,2,2,0,2,0,2,0,0,1,2,1,0,0,7,0,3,3,0,0,1,0
pt,"Jordi Cuixart","",5,2,1,1,2,3,5,1,0,0,1,0,0,0,0,2,1,0,0,1,2,2,0,0,3,2,1,1,1,1,0
eu,"Jordi Cuixart","",2,1,3,2,8,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,2,3,0,0,1,1,0,1
cs,"Jordi Cuixart i Navarro","",2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
ast,"Jordi Cuixart","",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0
oc,"Jordi Cuixart i Navarro","",2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
br,"Jordi Cuixart","",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ro,"Jordi Cuixart","",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
cy,"Jordi Cuixart i Navarro","",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
