Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
es,"Pablo Iglesias Turrión","",765,682,797,2135,1257,1116,1214,726,823,1130,982,868,5010,2890,1144,1153,872,892,1254,835,896,824,3654,2224,3061,5239,4296,1853,1450,1427,2889
en,"Pablo Iglesias Turrión","",119,100,116,190,168,170,158,133,136,135,148,156,255,161,129,135,137,125,116,134,143,103,296,196,356,218,263,169,172,144,190
fr,"Pablo Iglesias Turrión","",39,31,36,55,39,31,32,20,28,59,51,55,115,52,29,25,58,45,38,44,43,50,76,56,47,76,74,53,47,37,63
de,"Pablo Iglesias Turrión","",11,9,11,22,23,18,10,10,9,17,20,9,287,116,70,48,66,47,51,37,30,35,54,51,45,37,59,26,25,27,17
ca,"Pablo Iglesias Turrión","",19,17,15,38,26,12,24,15,23,15,17,16,123,82,20,30,18,13,18,12,7,15,98,45,71,102,54,29,30,17,68
it,"Pablo Iglesias Turrión","",21,24,19,45,31,22,28,14,19,21,24,20,19,13,21,11,17,24,11,18,9,12,34,21,20,27,38,25,34,27,25
pt,"Pablo Iglesias Turrión","",12,5,8,6,8,12,10,5,6,4,1,1,8,4,7,8,4,5,9,8,9,6,30,23,14,11,11,10,5,10,13
ru,"Иглесиас Туррион, Пабло","",4,4,3,6,5,3,4,3,3,1,8,7,7,6,4,5,7,3,3,1,4,4,15,17,3,4,6,7,4,10,5
gl,"Pablo Iglesias Turrión","",3,3,6,5,4,5,6,5,3,3,2,4,16,3,2,5,1,1,2,1,2,2,11,1,11,18,4,2,1,2,3
zh,"巴勃罗·伊格莱西亚斯·图里翁","",2,3,3,2,5,3,6,5,9,5,5,6,2,3,3,1,1,7,1,4,3,0,1,4,6,4,7,7,4,6,5
ja,"パブロ・イグレシアス (1978年生)","",4,7,2,1,4,6,0,5,4,0,2,2,2,2,2,9,11,2,2,2,5,3,2,2,2,2,5,8,2,2,1
pl,"Pablo Iglesias Turrión","",2,0,4,7,2,8,3,3,0,2,1,5,2,1,0,1,2,0,3,0,1,2,19,10,5,9,2,4,2,0,3
nl,"Pablo Iglesias Turrión","",3,2,1,7,7,5,3,0,1,0,1,4,0,7,0,0,0,4,0,2,3,2,14,3,2,4,7,2,3,4,2
eu,"Pablo Iglesias Turrión","",4,1,0,3,15,2,0,1,1,2,1,1,8,2,0,0,1,0,0,0,0,0,3,7,0,0,4,0,0,0,2
sv,"Pablo Iglesias Turrión","",1,0,0,2,1,0,1,1,1,1,0,1,2,0,1,1,2,0,2,0,0,0,9,5,5,4,5,2,1,0,2
ar,"بابلو إغليسياس توريون","",1,0,1,0,0,1,5,0,0,1,0,0,1,1,0,2,1,2,0,0,3,2,6,2,2,1,4,6,1,1,2
el,"Πάμπλο Ιγλέσιας Τουριόν","",0,0,0,0,0,1,4,0,0,1,1,0,1,4,1,0,2,1,1,1,0,0,1,3,1,0,3,0,0,3,4
fi,"Pablo Iglesias Turrión","",1,2,1,2,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,1,3,1,2,0,0,1,2
cs,"Pablo Iglesias Turrión","",0,1,1,0,1,2,0,0,0,2,0,2,0,1,0,0,0,0,0,1,2,0,0,2,1,1,0,1,3,0,0
tr,"Pablo Iglesias Turrión","",0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,1,3,0,0,0,1,0,0,3
ast,"Pablo Iglesias Turrión","",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,2,1,2,0,1,0,1,0,1
simple,"Pablo Iglesias Turrión","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,3,1,1,0,1,0
sr,"Пабло Иглесијас Турион","",0,0,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
la,"Paulus Iglesias Turrión","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,1,0,1,0,0,0,0
ie,"Pablo Iglesias Turrión","",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
eo,"Pablo Iglesias Turrión","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0
ta,"பாப்லோ இக்லேசியஸ்","",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
oc,"Pablo Iglesias Turrión","",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
