Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
ca,"Oriol Junqueras i Vies","",52,44,38,106,326,272,336,335,333,339,336,327,321,318,205,128,250,310,319,337,329,315,316,333,44,85,316,317,333,319,317
es,"Oriol Junqueras","",485,336,279,300,263,284,424,283,220,221,232,210,204,208,185,161,181,159,270,264,228,181,175,202,239,233,221,241,194,152,154
en,"Oriol Junqueras","",49,41,42,36,37,47,100,44,54,102,84,66,83,67,63,73,52,66,96,56,58,51,53,55,73,59,79,47,52,52,70
de,"Oriol Junqueras","",10,8,4,9,4,6,9,11,15,24,42,24,26,21,21,22,12,30,22,19,10,18,13,19,25,35,41,33,42,22,15
fr,"Oriol Junqueras","",6,11,15,13,12,18,24,16,13,17,15,8,14,6,15,11,18,13,14,16,7,11,6,9,8,7,8,4,9,6,15
it,"Oriol Junqueras","",7,12,8,9,12,12,17,15,12,13,11,14,10,12,14,14,15,12,13,13,14,11,9,10,5,11,16,8,12,10,3
ru,"Жункерас, Ориол","",4,4,0,1,3,3,9,2,1,7,3,2,5,5,5,5,5,2,3,5,3,4,5,4,6,2,4,4,3,1,5
nl,"Oriol Junqueras","",1,1,0,1,0,2,10,5,3,4,5,1,1,3,2,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0
gl,"Oriol Junqueras","",0,2,2,1,4,3,0,4,1,1,1,5,1,1,3,1,2,0,2,0,0,0,1,4,0,1,1,0,0,2,1
pl,"Oriol Junqueras","",2,1,1,0,2,1,5,0,0,0,6,2,3,1,0,2,0,1,0,3,1,4,0,0,3,0,2,0,0,2,0
pt,"Oriol Junqueras","",1,2,1,2,1,1,5,0,1,3,1,3,0,0,0,0,4,2,4,0,2,1,0,1,1,0,0,0,1,1,3
ja,"ウリオル・ジュンケラス","",0,18,0,0,0,0,1,2,0,0,2,0,2,0,0,3,0,1,0,0,4,2,0,0,0,1,1,0,0,0,0
zh,"奧里奧爾·容克拉斯","",0,3,1,0,1,2,4,2,1,0,0,1,1,0,0,1,0,1,0,1,0,2,0,4,1,0,1,0,3,1,0
fa,"اوریول جونکراس","",0,1,3,1,0,1,0,0,0,1,0,1,1,0,1,5,0,0,1,1,1,2,1,0,1,1,1,0,1,0,0
cs,"Oriol Junqueras","",1,0,2,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,1,0,0,0
eu,"Oriol Junqueras","",0,0,0,1,1,0,0,1,0,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
uk,"Оріол Жункерас","",0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
ast,"Oriol Junqueras","",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
br,"Oriol Junqueras","",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
el,"Οριόλ Ζουνκέρας","",0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fi,"Oriol Junqueras","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cy,"Oriol Junqueras","",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hy,"Օրիոն Ժունկերաս","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lmo,"Oriol Junqueras i Vies","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
oc,"Oriol Junqueras","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
