Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
ca,"Carles Puigdemont i Casamajó","",1569,1146,1054,1028,1257,1277,1391,1358,1281,1106,1124,1245,787,1208,1173,1039,994,1192,1782,2662,2662,2197,1951,2164,106,139,1000,1274,1593,1861,1702
en,"Carles Puigdemont","",780,741,732,637,528,452,554,465,892,872,724,620,816,668,636,416,560,564,777,1037,1020,933,1209,1352,1483,1163,920,816,727,931,958
es,"Carles Puigdemont","",630,576,550,623,514,437,422,362,372,601,678,837,640,566,532,466,435,405,458,532,543,430,353,370,522,408,408,387,335,270,347
fr,"Carles Puigdemont","",325,354,319,230,92,94,68,61,63,129,128,74,107,95,69,66,81,78,314,511,536,467,669,775,814,576,467,340,271,506,500
de,"Carles Puigdemont","",85,126,97,109,93,74,79,61,61,105,104,107,85,88,61,142,116,80,84,67,55,83,86,87,298,153,75,79,61,66,89
it,"Carles Puigdemont","",41,40,34,42,56,45,51,26,42,74,97,43,45,64,55,62,51,39,62,60,41,33,33,67,248,156,51,49,59,37,47
eu,"Carles Puigdemont","",6,1,1,2,3,0,1,1,1,2,2,3,4,0,0,1,1,0,0,0,2,1,179,290,290,81,1,2,2,1,2
fi,"Carles Puigdemont","",214,211,200,113,1,3,3,0,2,3,2,7,6,2,2,2,3,4,7,5,1,5,2,1,2,2,1,0,4,1,1
ru,"Пучдемон, Карлес","",19,27,34,26,16,30,19,13,19,29,48,33,22,28,19,32,39,37,27,29,16,15,23,28,22,29,26,28,19,24,29
nl,"Carles Puigdemont","",15,13,25,19,20,16,13,12,24,33,18,7,19,17,10,11,34,10,16,15,15,19,13,10,21,29,34,23,17,10,16
zh,"卡萊斯·普吉德蒙","",13,17,17,8,8,20,23,11,10,12,18,17,13,14,11,9,15,11,22,15,23,15,10,21,13,6,15,9,12,18,14
pt,"Carles Puigdemont","",8,5,10,13,18,15,16,8,7,14,15,12,12,13,5,16,20,15,14,28,18,13,28,9,15,13,12,11,13,10,13
ja,"カルラス・プッチダモン","",15,16,9,8,13,7,14,10,13,21,29,6,15,8,10,15,18,13,5,9,14,19,15,22,17,25,12,6,10,6,4
sv,"Carles Puigdemont","",14,6,13,6,6,5,12,4,5,12,4,8,3,10,5,10,21,23,11,18,16,8,6,15,8,7,14,9,5,13,11
pl,"Carles Puigdemont","",15,6,6,13,8,7,8,7,4,18,12,9,7,4,12,10,10,13,9,10,11,16,9,13,6,12,11,5,3,11,12
ar,"كارلس بوتشدمون","",6,12,12,6,3,5,3,8,7,4,2,2,15,6,4,11,7,6,3,7,6,7,6,10,6,18,13,9,2,4,7
id,"Carles Puigdemont","",2,2,0,4,0,3,2,0,5,4,1,5,2,1,2,3,6,0,1,1,27,6,4,8,7,24,23,17,9,12,14
he,"קרלס פוג'דמון","",13,21,21,10,1,2,2,1,0,3,5,1,4,2,0,5,3,4,3,3,0,2,3,0,6,5,2,2,2,5,5
vi,"Carles Puigdemont","",1,2,0,1,0,0,0,1,2,0,0,2,2,0,1,2,4,2,1,2,39,2,4,6,3,12,12,1,1,4,6
ast,"Carles Puigdemont","",8,2,3,0,6,2,2,2,3,4,12,6,3,3,3,2,5,4,2,3,6,1,2,5,0,0,2,0,3,0,3
cs,"Carles Puigdemont","",4,3,2,4,1,1,2,0,1,9,5,0,3,3,1,5,3,3,4,4,4,1,5,4,6,6,1,5,1,5,1
da,"Carles Puigdemont","",0,0,8,6,1,6,3,4,0,4,6,2,2,2,3,2,0,0,0,1,3,2,2,1,3,5,4,1,5,3,3
hu,"Carles Puigdemont","",2,5,2,6,0,1,2,1,5,5,3,0,4,1,0,4,7,3,3,2,3,1,1,2,1,3,1,0,1,4,0
sr,"Карлес Пуџдемон","",4,0,3,1,2,1,1,1,1,0,2,2,2,3,2,4,2,1,2,6,6,4,0,2,1,4,0,0,2,2,4
gl,"Carles Puigdemont","",0,2,7,1,2,2,2,5,3,2,0,4,6,1,3,0,1,2,0,0,1,2,3,3,0,0,5,1,0,2,0
ro,"Carles Puigdemont","",0,4,1,1,3,4,1,0,2,2,2,2,0,1,2,0,1,1,0,1,1,1,3,2,1,2,2,2,5,1,1
fa,"کارلس پوجدمون","",0,1,2,3,0,0,0,0,0,1,1,3,0,2,0,6,3,3,1,1,3,1,0,2,5,2,1,4,0,1,0
uk,"Карлес Пучдемон","",0,0,1,2,1,3,0,0,1,2,12,2,3,0,0,0,0,1,1,0,2,2,0,1,0,3,0,0,1,0,0
el,"Κάρλες Πουτζδεμόν","",0,0,0,0,2,0,2,0,1,4,6,0,3,0,0,0,2,0,0,1,1,1,0,1,0,0,1,4,2,2,0
ko,"카를레스 푸지데몬","",0,2,0,0,4,5,0,1,0,0,1,0,1,5,1,0,0,1,1,0,2,0,1,0,0,1,0,3,1,1,1
et,"Carles Puigdemont","",1,1,0,3,0,0,0,0,1,3,1,1,1,1,0,0,1,1,0,3,2,1,1,1,0,1,1,1,0,2,1
bg,"Карлес Пучдемон","",0,0,0,3,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,2,0,2,1,3,4,1,3
th,"การ์ลัส ปุดจ์ดาโมน","",1,0,4,0,0,1,0,2,1,0,1,0,0,0,0,0,1,1,1,2,0,2,0,1,1,0,2,0,0,1,0
no,"Carles Puigdemont i Casamajó","",0,0,0,4,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,2,0,0,1,0
tr,"Carles Puigdemont","",1,1,0,1,0,2,0,3,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1
simple,"Carles Puigdemont","",0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0
lv,"Karless Pudždemons","",0,0,1,0,0,0,0,0,2,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ka,"კარლეს პუჩდემონი","",0,0,1,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
sl,"Carles Puigdemont","",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0
als,"Carles Puigdemont","",0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
eo,"Carles Puigdemont i Casamajó","",2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
hy,"Կառլես Պուչդեմոն","",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0
sh,"Carles Puigdemont","",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1
az,"Karles Puçdemon","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
cy,"Carles Puigdemont","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
