Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
es,"Albert Rivera","",2854,4237,3209,2382,1585,1417,1398,958,2915,3291,5099,1756,1595,1201,1283,2072,1483,1558,1615,1000,2205,1082,1055,1297,1095,1397,23400,5597,2141,3358,2526
en,"Albert Rivera","",136,164,155,146,128,119,97,103,124,142,209,128,122,78,94,100,109,98,110,99,88,98,82,114,127,106,481,251,134,152,132
ca,"Albert Rivera Díaz","",89,166,125,123,50,40,59,39,95,120,162,76,51,33,51,61,52,53,64,26,50,47,35,45,30,51,517,198,96,98,109
fr,"Albert Rivera","",26,22,39,19,31,17,19,19,23,34,39,33,32,21,15,19,27,26,14,21,19,14,19,17,28,35,72,26,9,29,20
it,"Albert Rivera","",16,14,15,19,10,18,18,4,19,12,24,14,18,5,13,14,10,15,12,15,11,10,8,10,13,13,34,16,7,11,19
de,"Albert Rivera","",15,12,20,7,11,15,11,9,15,22,19,12,8,9,10,13,15,8,12,6,8,9,6,5,7,11,33,16,4,8,5
pt,"Albert Rivera","",13,13,6,9,2,5,6,0,6,5,8,8,0,2,3,2,6,7,6,5,8,5,5,8,7,11,22,5,3,7,5
gl,"Albert Rivera","",9,11,7,3,5,0,5,3,5,6,6,1,2,4,2,2,3,0,4,0,3,0,4,2,1,8,49,10,9,2,2
ru,"Ривера, Альберт","",6,4,6,6,8,3,1,4,3,4,1,3,7,5,4,5,4,9,4,3,3,6,8,5,4,2,4,7,5,5,8
eu,"Albert Rivera","",8,2,4,6,7,6,2,2,7,4,8,5,6,1,0,1,1,1,2,0,1,0,2,2,0,3,7,2,0,1,0
nl,"Albert Rivera","",4,4,4,5,4,0,2,0,0,3,8,2,3,0,2,2,3,2,0,1,2,0,1,3,1,2,6,5,2,5,3
pl,"Albert Rivera","",2,3,0,4,2,6,0,1,2,5,2,0,3,2,1,0,4,0,4,2,5,0,2,1,3,4,6,1,1,0,2
zh,"阿爾韋特·里維拉","",1,4,5,2,2,3,4,1,0,1,1,4,0,0,0,3,0,1,1,0,0,3,5,0,0,3,7,3,2,1,1
ja,"アルベール・リベラ","",0,4,1,1,3,1,1,0,1,2,1,4,1,2,2,2,2,3,1,0,5,0,0,1,2,1,0,4,0,0,4
el,"Αλμπέρτ Ριβέρα","",0,1,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,5,1,1
fi,"Albert Rivera","",1,0,1,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,4,0,0,2,0
fa,"آلبر ریورا","",1,0,0,0,0,0,0,2,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ko,"알베르트 리베라","",0,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
ast,"Albert Rivera","",1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3
ar,"ألبرت ريفيرا","",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
id,"Albert Rivera","",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
simple,"Albert Rivera","",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ie,"Albert Rivera","",2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uk,"Албер Рібера","",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
