Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
es,"Pedro Sánchez","",3252,2544,1994,2002,1882,1771,1591,1389,1645,1942,1944,1517,1508,1512,1360,1385,1446,1686,1577,1413,1568,1576,1416,1731,1865,2450,3272,2038,1525,1555,1868
en,"Pedro Sánchez (politician)","",627,488,521,569,666,604,543,504,418,478,604,572,555,507,502,522,580,626,574,598,613,595,674,509,577,930,662,663,563,480,567
fr,"Pedro Sánchez","",167,171,164,212,227,181,172,168,157,203,194,212,227,234,194,178,336,173,176,190,175,159,147,207,201,223,180,180,156,213,207
it,"Pedro Sánchez","",131,110,95,105,94,80,87,72,84,94,114,103,101,103,77,91,91,82,89,93,97,105,96,111,64,106,124,109,118,97,104
de,"Pedro Sánchez","",97,70,68,120,97,89,88,90,81,97,96,97,105,83,63,69,96,89,96,86,49,84,98,93,124,115,131,101,80,80,87
pt,"Pedro Sánchez","",391,59,57,55,61,49,65,53,58,60,63,60,35,43,51,45,55,56,36,54,78,79,54,79,53,83,75,49,63,54,62
ru,"Санчес, Педро (политик)","",49,57,57,66,51,51,39,35,40,67,45,60,39,48,53,50,78,69,40,58,59,48,60,47,69,77,62,64,48,61,76
zh,"佩德羅·桑切斯","",37,30,52,41,30,255,264,38,31,18,27,30,20,28,28,23,26,34,24,33,29,28,10,29,33,36,67,30,30,29,20
pl,"Pedro Sánchez","",41,36,43,44,56,28,42,26,41,33,43,40,49,32,37,39,41,25,31,50,54,45,38,42,36,33,51,34,28,29,41
ca,"Pedro Sánchez Pérez-Castejón","",57,38,29,34,33,29,28,19,33,30,37,19,24,18,17,19,25,29,32,30,34,46,26,30,26,24,39,19,21,17,23
ja,"ペドロ・サンチェス","",14,29,28,24,30,27,33,34,23,17,29,35,24,40,23,37,29,28,27,22,23,31,37,20,32,27,26,9,19,31,23
ar,"بيدرو سانشيز (سياسي)","",23,17,20,18,12,13,15,12,7,17,17,10,16,7,14,16,5,13,19,25,9,18,10,17,15,21,19,23,13,22,6
nl,"Pedro Sánchez","",11,12,8,10,22,14,17,5,8,8,9,8,12,7,11,12,18,18,6,16,18,27,8,13,20,17,12,13,8,23,22
fa,"پدرو سانچز","",14,7,8,29,11,10,9,15,14,8,5,3,19,7,20,15,9,5,10,7,8,7,4,9,11,8,16,10,9,6,14
sv,"Pedro Sánchez","",11,11,9,9,10,16,4,12,8,6,9,15,13,16,14,10,6,20,10,11,8,10,14,9,11,5,14,10,4,10,6
hu,"Pedro Sánchez Pérez-Castejón","",11,9,10,14,13,10,7,9,10,8,4,13,12,4,14,8,8,10,12,5,12,12,8,11,11,18,9,6,6,8,7
cs,"Pedro Sánchez","",14,14,18,13,10,17,5,3,9,11,7,10,7,8,1,5,6,11,9,5,1,14,5,6,7,12,16,11,1,6,5
el,"Πέδρο Σάντσεθ","",12,6,5,13,9,8,3,9,6,3,14,4,11,7,5,6,7,8,5,4,10,18,6,4,5,8,5,6,4,14,13
no,"Pedro Sánchez","",7,3,2,10,5,7,18,8,4,2,10,6,6,6,6,5,11,4,14,6,8,10,7,4,10,12,7,6,5,6,1
gl,"Pedro Sánchez","",14,8,9,8,8,4,5,5,2,9,9,7,7,5,5,4,7,6,4,8,2,14,3,4,6,10,11,5,3,7,6
he,"פדרו סנצ'ס","",9,8,10,6,11,6,6,13,5,2,3,3,8,4,3,3,9,4,3,6,8,5,3,5,3,15,13,4,4,8,6
bg,"Педро Санчес","",9,5,4,9,6,5,4,0,2,16,1,5,4,12,14,3,6,15,2,7,2,5,3,28,6,8,0,4,3,6,1
fi,"Pedro Sánchez","",3,1,1,11,5,3,1,4,6,2,8,9,8,7,7,6,2,13,6,2,7,11,1,0,4,9,9,9,7,6,4
ko,"페드로 산체스","",4,7,3,6,12,10,3,7,3,4,4,2,4,4,5,4,1,2,5,6,2,12,7,5,3,8,3,7,3,9,10
id,"Pedro Sánchez","",4,2,3,4,0,9,6,3,4,4,2,8,4,7,4,9,6,6,5,2,5,3,3,7,7,5,4,6,4,6,7
th,"เปโดร ซันเชซ (นักการเมืองชาวสเปน)","",4,6,9,8,2,7,2,5,3,3,2,3,6,10,2,4,5,2,7,2,5,7,2,11,9,4,3,2,3,4,1
tr,"Pedro Sánchez","",6,6,1,8,9,6,3,9,0,2,3,7,3,2,5,3,4,6,3,4,8,9,2,2,1,2,8,6,7,5,2
uk,"Педро Санчес","",14,4,5,6,5,2,2,2,3,6,2,3,1,16,3,2,1,8,1,4,5,3,0,3,5,5,7,3,3,2,5
da,"Pedro Sánchez","",4,2,2,5,2,4,3,1,1,2,3,3,2,5,4,5,7,5,9,6,8,5,3,0,6,8,5,6,0,4,8
ro,"Pedro Sánchez","",3,4,3,5,3,5,4,1,1,3,3,3,5,7,1,4,4,2,3,3,5,8,3,8,2,5,4,2,2,5,6
eu,"Pedro Sánchez Pérez-Castejón","",11,3,1,5,4,7,4,2,0,0,4,3,4,1,1,2,2,4,1,0,2,5,3,0,3,3,10,2,2,3,1
sr,"Педро Санчез","",5,1,5,6,2,4,0,3,6,0,4,1,3,5,1,3,1,3,4,2,2,4,4,1,7,4,1,0,1,6,3
ast,"Pedro Sánchez","",6,2,0,3,3,2,1,1,4,3,0,2,3,1,2,9,11,9,2,1,4,2,1,1,0,3,3,2,0,3,3
simple,"Pedro Sánchez","",2,1,0,4,2,1,1,1,0,2,3,0,1,2,4,1,0,4,1,1,1,6,2,4,5,7,5,4,1,2,2
hr,"Pedro Sánchez","",3,2,2,2,2,1,3,0,1,2,1,0,2,1,0,2,3,3,1,0,6,4,1,4,2,2,1,2,0,7,0
af,"Pedro Sánchez","",2,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,1,23,1,0,0,1,0,0,0,0,0,1,0,5,0
et,"Pedro Sánchez","",4,1,0,4,3,0,2,0,0,2,2,4,0,1,3,0,0,0,0,0,0,3,0,1,1,1,1,0,2,2,0
ka,"პედრო სანჩესი (პოლიტიკოსი)","",4,0,0,3,0,2,1,0,0,1,1,0,0,2,0,0,0,2,3,3,2,5,0,0,0,0,0,1,2,3,2
vi,"Pedro Sánchez","",2,2,0,2,3,0,2,1,0,0,2,1,3,0,0,1,0,0,1,1,1,2,0,2,1,0,1,1,1,2,1
hy,"Պեդրո Սանչես","",2,0,0,3,3,2,0,0,0,0,0,0,2,3,1,1,1,0,0,1,1,3,0,0,0,1,4,0,0,4,0
hi,"पेड्रो सांचेज","",3,1,0,2,1,1,1,1,0,0,2,0,0,1,2,0,1,1,2,1,2,2,0,0,0,0,2,0,0,2,1
ms,"Pedro Sánchez","",3,0,2,3,0,2,0,0,1,1,0,0,0,1,4,1,0,1,1,0,0,2,1,0,0,1,0,1,1,2,0
is,"Pedro Sánchez","",2,0,0,3,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,2,0,3,0,0,0,1,1,0,1,2,0
an,"Pedro Sánchez","",2,0,1,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,3,0,1,0,0,0,2,0,2,0
la,"Petrus Sánchez","",3,2,0,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,2,0
lv,"Pedro Sančess","",2,0,0,2,0,0,0,0,0,1,0,0,1,2,1,0,2,0,0,0,2,1,2,0,0,0,0,1,0,3,0
mr,"पेद्रो सांचेझ","",3,0,0,4,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0
lmo,"Pedro Sánchez","",2,0,1,2,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,2,0
be,"Педра Санчэс","",2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,4,0,0,0,0,0,0,1,2,0
nn,"Pedro Sánchez","",2,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0
eo,"Pedro Sánchez Pérez-Castejón","",2,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,2,0
