Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
ca,"Joaquim Torra i Pla","",916,702,705,740,768,701,777,766,795,777,790,779,475,687,580,501,673,757,1320,2303,2318,2142,1822,1903,115,137,771,945,1163,1560,1476
es,"Quim Torra","",405,336,398,352,296,368,285,219,275,279,290,516,376,403,304,328,304,417,842,1152,1185,1279,876,663,593,413,416,372,310,290,298
en,"Quim Torra","",91,98,105,100,102,96,116,102,125,127,133,121,173,160,138,169,148,135,262,388,390,338,349,348,387,377,325,252,218,323,340
fr,"Quim Torra","",22,20,19,35,21,22,15,24,22,30,20,34,26,35,37,18,61,25,41,40,35,42,44,27,33,39,34,30,24,25,51
de,"Quim Torra","",14,17,14,16,13,18,12,11,15,20,12,16,18,22,11,16,25,19,22,34,16,25,16,23,20,23,13,20,45,18,22
ru,"Торра, Ким","",15,17,19,18,10,17,16,8,12,22,12,17,12,11,17,19,18,18,17,31,18,7,12,10,30,19,13,22,9,14,15
pt,"Quim Torra","",9,14,9,12,8,15,10,11,7,7,8,5,11,12,8,14,10,13,8,28,19,14,13,9,18,24,13,18,22,14,11
it,"Quim Torra","",7,14,10,13,15,17,13,6,11,7,8,7,7,10,9,7,15,3,10,16,17,7,13,14,7,19,15,8,6,11,6
pl,"Quim Torra","",2,6,1,10,6,5,5,9,9,6,6,9,5,2,6,5,3,8,11,15,2,8,4,7,16,12,10,2,1,3,5
zh,"奎姆·托拉","",10,4,6,1,4,5,13,3,6,2,4,8,0,3,4,6,1,4,9,4,3,1,3,10,3,3,4,6,2,6,2
ja,"キム・トーラ","",5,7,4,2,3,1,5,2,1,3,4,3,1,5,3,3,6,4,6,6,6,11,5,3,3,1,4,1,3,3,5
nl,"Joaquim Torra i Pla","",2,0,4,6,3,5,5,1,0,4,4,5,3,4,2,7,5,4,4,0,2,1,0,6,3,4,10,3,5,3,5
ast,"Quim Torra","",6,2,2,6,3,3,1,2,6,2,1,0,2,4,1,2,3,1,2,6,9,5,2,3,0,3,3,1,0,0,1
ar,"يواكيم تورا","",2,2,5,0,6,0,1,0,0,0,1,1,8,1,2,1,1,1,2,0,3,0,1,3,1,9,1,1,3,4,3
sv,"Quim Torra","",5,2,0,0,2,2,3,1,1,2,1,2,1,1,3,1,3,2,3,1,6,2,1,2,2,1,4,2,3,2,1
fa,"کیم تورا","",0,0,2,4,0,0,2,3,1,0,0,4,0,0,2,9,4,2,0,1,3,0,3,1,4,3,2,2,1,1,3
gl,"Quim Torra","",2,2,2,4,2,4,4,1,1,2,0,1,0,2,0,3,2,0,2,6,5,1,4,1,1,1,0,0,0,1,2
eu,"Quim Torra","",2,1,3,2,5,2,0,1,0,1,1,1,2,0,2,0,0,2,2,1,2,0,2,1,1,0,0,0,3,0,1
fi,"Quim Torra","",0,0,1,0,0,1,2,0,1,3,4,1,0,0,1,2,0,0,0,0,1,0,0,0,0,3,0,1,1,1,2
el,"Κιμ Τόρα","",0,0,1,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,1,2
la,"Ioachimus Torra","",1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1
uk,"Кім Торра","",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
et,"Quim Torra","",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0
lmo,"Quim Torra","",0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
an,"Quim Torra","",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
af,"Quim Torra","",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
simple,"Quim Torra","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
br,"Quim Torra","",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sco,"Quim Torra","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
be,"Кім Тора","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cy,"Quim Torra","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
oc,"Quim Torra","",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fy,"Quim Torra","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
