Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
es,"Roger Torrent","",123,94,101,1814,421,177,146,101,117,96,97,70,81,86,51,145,114,110,103,107,87,138,104,78,87,84,67,67,38,34,52
ca,"Roger Torrent i Ramió","",28,21,21,525,94,24,21,22,32,31,25,25,18,22,12,37,24,19,25,25,24,26,20,15,8,21,14,15,12,2,6
en,"Roger Torrent","",12,15,19,141,50,28,19,18,28,24,16,19,21,30,24,29,20,25,21,20,11,18,14,13,19,16,13,13,20,8,21
fr,"Roger Torrent","",2,1,4,31,4,4,3,1,4,2,5,3,4,2,8,5,4,4,1,2,1,4,6,5,7,4,2,4,5,4,9
it,"Roger Torrent","",1,3,5,7,6,1,1,1,3,1,4,6,0,3,5,5,3,0,1,1,2,2,2,3,3,2,7,2,1,1,2
ru,"Торрен, Рожер","",1,2,2,3,2,1,1,1,3,1,1,0,2,2,1,0,0,0,3,1,2,0,3,3,0,2,1,3,2,2,3
pt,"Roger Torrent","",1,0,1,4,4,3,6,0,0,1,0,0,2,0,0,1,0,0,4,0,0,2,1,2,0,1,1,0,2,0,1
gl,"Roger Torrent i Ramió","",0,1,0,8,6,1,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1
sv,"Roger Torrent","",2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
eu,"Roger Torrent","",0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
br,"Roger Torrent","",0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lmo,"Roger Torrent i Ramió","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
oc,"Roger Torrent","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
