Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
es,"Manuel Valls (político)","",483,240,216,354,407,189,291,290,1091,16895,2756,767,426,270,223,224,692,398,286,297,313,240,306,189,228,184,270,137,129,195,335
fr,"Manuel Valls","",588,482,540,565,550,574,488,552,637,692,512,617,775,553,540,546,778,696,741,672,552,477,675,603,470,587,592,580,464,524,650
en,"Manuel Valls","",168,146,195,208,192,173,1329,320,216,562,341,227,423,229,173,171,234,199,256,205,186,182,212,199,225,201,194,210,172,182,190
it,"Manuel Valls","",156,137,254,168,178,138,138,174,146,165,168,132,129,153,107,147,274,212,176,148,145,136,139,55,45,119,143,147,126,150,114
ca,"Manuel Valls i Galfetti","",51,23,20,19,37,18,18,13,65,435,88,41,22,20,19,14,37,15,18,37,34,28,68,35,29,21,28,20,24,20,22
de,"Manuel Valls","",31,27,24,17,28,28,92,17,28,33,24,24,37,23,14,11,29,29,13,28,8,18,31,20,17,25,29,26,13,16,24
ru,"Вальс, Мануэль","",10,16,13,16,14,20,10,19,7,27,27,13,22,17,9,17,18,19,15,22,4,15,19,16,16,16,8,8,10,10,19
nl,"Manuel Valls","",7,4,42,29,9,7,18,4,6,7,7,4,12,5,5,9,6,1,4,7,4,11,14,4,4,6,3,8,1,7,5
pt,"Manuel Valls","",8,5,4,11,12,8,10,10,9,17,11,3,4,1,7,5,8,5,9,2,6,10,7,8,8,3,5,5,6,12,2
pl,"Manuel Valls","",3,5,11,4,5,9,6,10,8,10,12,4,9,4,3,6,8,3,5,8,10,9,10,7,7,15,3,7,4,1,11
ar,"مانويل فالس","",4,8,8,5,11,5,2,9,6,5,2,4,10,9,2,7,1,7,9,12,11,12,6,5,5,4,1,6,1,5,5
ja,"マニュエル・ヴァルス","",7,7,3,4,2,9,7,3,6,4,3,5,6,5,1,8,9,9,4,9,8,6,9,8,4,3,4,6,4,7,5
gl,"Manuel Valls","",3,1,0,2,2,0,0,2,5,88,7,3,3,1,2,3,2,0,2,1,0,4,0,1,0,0,0,2,1,0,1
zh,"曼纽埃尔·瓦尔斯","",3,2,2,3,5,4,8,2,5,5,0,0,1,5,2,1,4,2,5,1,0,3,1,1,7,4,4,1,6,4,2
fa,"مانوئل والس","",0,1,1,3,4,1,3,1,5,2,1,4,1,1,1,1,0,4,3,3,2,4,7,6,1,2,0,5,1,2,2
eu,"Manuel Valls","",7,0,3,0,9,3,2,0,1,24,0,0,2,0,0,0,3,0,0,2,3,4,0,0,0,0,0,0,1,0,0
cs,"Manuel Valls","",4,3,2,1,1,0,3,3,4,1,0,1,2,2,1,1,5,0,7,1,1,4,1,0,1,5,3,1,0,1,2
hu,"Manuel Valls","",1,0,0,1,1,1,2,0,1,3,1,1,4,1,2,1,3,0,1,1,1,4,2,4,2,1,5,0,6,1,1
he,"מנואל ואלס","",0,0,1,3,0,1,3,0,2,0,1,3,4,2,1,2,2,0,1,1,2,2,2,2,2,1,0,4,3,2,2
sv,"Manuel Valls","",0,1,3,1,0,0,3,0,1,1,1,1,1,2,0,3,1,1,2,1,1,3,1,1,3,1,1,2,3,0,2
tr,"Manuel Valls","",0,3,0,7,2,1,1,0,1,0,0,2,1,1,2,4,2,0,2,0,2,2,3,0,1,0,0,1,1,2,0
el,"Μανουέλ Βαλλς","",2,0,0,3,1,2,1,1,0,0,0,6,2,3,1,2,1,2,1,2,0,2,2,0,1,1,0,0,0,2,2
no,"Manuel Valls","",0,2,0,0,2,0,1,0,1,4,0,2,2,2,0,0,1,4,2,4,0,2,1,0,1,2,2,0,1,1,0
id,"Manuel Valls","",0,1,2,0,1,0,1,0,2,0,5,2,1,0,2,0,3,0,3,1,1,2,0,2,2,0,1,0,0,2,2
ko,"마뉘엘 발스","",2,3,1,0,5,5,1,0,1,1,0,0,1,1,1,1,0,0,0,1,2,2,0,1,0,0,0,1,4,1,1
fi,"Manuel Valls","",0,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,0,2,2,1,2,2,2,0,0
ro,"Manuel Valls","",4,0,1,1,0,2,0,0,1,3,0,2,0,1,0,0,0,2,0,1,2,3,2,0,0,0,1,1,0,0,0
