X1,X2,X3,X4,X5,X6
1 x testigo protegido,Mossos,Testigo,Aceptado,"Fiscalía, Abogacía",NA
114 x agentes,Policía Nacional,Testigo,Aceptado,"Fiscalía, Abogacía",NA
15 x agentes,Mossos,Testigo,Aceptado,"Fiscalía, Abogacía, Vox","Junqueras, Romeva, Sánchez, Cuixart, Forn"
2 x agentes,"Guardia Urbana, Badalona",Testigo,Aceptado,"Fiscalía, Abogacía",NA
80 x agentes,Guardia Civil,Testigo,Aceptado,"Fiscalía, Abogacía, Vox","Sánchez, Turull, Forn"
NA,NA,NA,NA,NA,NA
Ada Colau,Alcaldesa de Barcelona,Testigo,Aceptado,Vox,"Sánchez, Turull"
Adria Comella,"Diputado autonómico, ERC",Testigo,Aceptado,Vox,NA
Adriano Raddi,NA,Testigo,Aceptado,NA,Sánchez
Agustí Ferrer Teixidó,NA,Testigo,Aceptado,NA,Sánchez
Agustí Valls i Prats,NA,Testigo,Aceptado,NA,Sánchez
Ahmed Galai,"Premio Nobel de la Paz 2015, Let Catalans Vote",Testigo,Rechazado,NA,Cuixart
Albano Dante Fachín Pozzi,"Diputado, Catalunya Si Que Es Pot",Testigo,Aceptado,NA,Cuixart
Albert Ballesta Tura,"Generalitat, interior, funcionario",Testigo,Rechazado,NA,Forn
Albert Battle i Bastardas,"Mossos, ex Director",Testigo,Aceptado,Vox,"Cuixart, Forn"
Albert Donaire Malagelada,"Agente, Mossos",Testigo,Aceptado,Vox,NA
Albert Gómez i Capella,NA,Testigo,Aceptado,NA,Sánchez
Albert Nogueras Clajez,NA,Testigo,Aceptado,NA,Sánchez
Albert Royo Marine,"Representante, PCM-Diplocat",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Alberto/Albert/Alejandro Jaime Planas Raig,"Unipost, jefe de producción",Testigo,Aceptado,"Fiscalía, Abogacía, Vox","Turull, Bassa"
Alejandra Peralta Jovell,"Agente, Mossos",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Alfons Barceló Casas,NA,Testigo,Aceptado,NA,Sánchez
Alfred Maurice de Zayas,Experto independiente ONU,Perito,Rechazado,NA,"Junqueras, Romeva, Cuixart"
Alfredo Pérez Rubalcaba,"PSOE, ex secretario general",Testigo,Rechazado,Vox,NA
Amadeu Altajaf,"Director, Delegación Generalitat, Unión Europea",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Amblar Hodges Moss,"Abogado, Let Catalans Vote",Testigo,Rechazado,NA,Cuixart
Ana Gomes,Parlamento Europeo,Testigo,Aceptado,NA,"Junqueras, Romeva"
Anan Teixidó Audet,"Generalitat, Economía, ex jefa de protocolo",Testigo,Aceptado,NA,Cuixart
Andrej Hunko,"Alemania, delegaciones, Diplocat",Testigo,Aceptado,NA,"Junqueras, Romeva"
Angel Cortadelles Bacaria,"Generalitat, justicia, ex director de servicios",Testigo,Aceptado,NA,Mundó
Angel Gonzalo Pascual,"General, Guardia Civil, VII Zona",Testigo,Aceptado,"Fiscalía, Abogacía","Junqueras, Romeva, Forn"
Anna Isabel Simó i Castelló,"Parlament, secretaria primera, mesa",Testigo,Aceptado,NA,"Junqueras, Romeva, Forcadell"
Annalisa Ciampi,"ONU, ex relatora especial",Testigo,Rechazado,NA,Cuixart
Antón Raventós Raventós,NA,Testigo,Aceptado,Vox,NA
Antoni Altaió i Morral,NA,Testigo,Aceptado,NA,Sánchez
Antoni Caralt Muñoz,NA,Testigo,Aceptado,NA,Sánchez
Antoni Finas,"SEM, gerente",Testigo,Rechazado,NA,Sánchez
Antoni Millet,"Miembro, pleno o comité ejecutivo, Diplocat",Testigo,Aceptado,NA,"Junqueras, Romeva"
Antoni Molons García,"Secretario difusión, Presidencia, Sant Joan Despí",Testigo,Aceptado,"Fiscalía, Abogacía",Turull
Antoni Sala Cuñé,NA,Testigo,Aceptado,NA,Sánchez
Antonio Baños,"Diputado autonómico, CUP",Testigo,Aceptado,Vox,NA
Antonio Bayona Rocamora,"Letrado mayor, Parlament",Testigo,Aceptado,"Fiscalía, Abogacía","Junqueras, Romeva"
Antonio Manuel Santos Falcon,"Unipost, jefe de producción, Barcelona",Testigo,Aceptado,"Fiscalía, Abogacía, Vox",NA
Antonio Moral,NA,Testigo,Aceptado,NA,Sánchez
Antonio Taules Mases,NA,Testigo,Aceptado,NA,Sánchez
Artur Más Gavarró,"Generalitat, Presidente",Testigo,Aceptado,Vox,"Sánchez, Cuixart"
Bernal Valls i Fuster,"Generalitat, Acción Cívica, director general",Testigo,Aceptado,NA,Bassa
Bernat Picornell i Grenzner,Testigo 20-S,Testigo,Aceptado,NA,"Junqueras, Romeva"
Bill Shipsey,"Abogado, Art for Amnesty, Let Catalans Vote",Testigo,Rechazado,NA,Cuixart
Brauli Duart i Llinares,"Generalitat, Interior, secretario general",Testigo,Aceptado,NA,Turull
Camil Ros i Duran,"UGT, secretario general, Cataluña",Testigo,Aceptado,NA,"Cuixart, Bassa"
Carles Anfruns Sánchez,"Mossos, comisario jefe, región Barcelona",Testigo,Aceptado,NA,Forn
Carles Enrique Bayo,NA,Testigo,Rechazado,NA,"Junqueras, Romeva"
Carles Hernández Vilamajó,"Mossos, intendente, jefe brigada móvil",Testigo,Aceptado,NA,Forn
Carles McCrach Prujà,"Consejo Colegios de Abogados, presidnete",Testigo,Rechazado,NA,Sánchez
Carles Pont Sorribes,Doctor en Comunicación Social,Perito,Rechazado,NA,Cuixart
Carles Puigdemont,"Generalitat, ex Presidente",Testigo,Rechazado,NA,"Junqueras, Romeva, Sánchez, Forn, Forcadell"
Carles Valls Arnó,NA,Testigo,Aceptado,NA,Sánchez
Carles Viver Pi i Sunyer,"Instituto de Estudios para el Autogobierno, Consejo Transición",Testigo,Aceptado,Vox,Turull
Carlos Javier Irisarri Martínez,"Técnico, SEGIPSA, IBERTASA, valoración locales",Perito,Aceptado,"Fiscalía, Abogacía",NA
Carme Baque,NA,Testigo,Aceptado,NA,Sánchez
Carme Budé Pérez,NA,Testigo,Aceptado,NA,Sánchez
Cesc Iglesias,"Diputado autonómico, ERC",Testigo,Aceptado,Vox,NA
Chakir El Homrani Lesfar,Testigo 20-S,Testigo,Aceptado,NA,"Junqueras, Romeva"
Cristina Manresa,"Comisaria, Mossos",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Cristóbal Montoro,"ex Ministro de Economía, PP",Testigo,Aceptado,Vox,NA
Dani García,"Miembro, pleno o comité ejecutivo, Diplocat",Testigo,Aceptado,NA,"Junqueras, Romeva"
David Badal Josa,"Generalitat, Trabajo, técnico administrativo",Testigo,Aceptado,Abogacía,Bassa
David Boneta Cortina,"Mossos, comisario jefe, región Tarragona",Testigo,Aceptado,NA,Forn
David Elvira,"Generalitat, Salut, Director",Testigo,Aceptado,NA,"Junqueras, Romeva"
David Fernández Ramos,"ex diputado, CUP, testigo 20-S, en Peu de Pau",Testigo,Aceptado,NA,"Junqueras, Romeva, Sánchez, Cuixart"
David Kaye,Relator internacional,Perito,Rechazado,NA,"Junqueras, Romeva, Cuixart"
David Palanqués Bonagua,"Generalitat, Trabajo",Testigo,Aceptado,"Fiscalía, Abogacía",NA
David Pérez Ibáñez,"Diputado autonómico, Mesa del Parlament, PSC",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Diego Pérez de los Cobos,"Coronel, Guardia Civil, Seguridad, Interior",Testigo,Aceptado,"Fiscalía, Abogacía, Vox","Junqueras, Romeva, Forn"
Duncan McCausland,Asociación de Jefes de Policía del RU,Perito,Rechazado,NA,Cuixart
Eduardo Reyes Pino,Testigo 20-S,Testigo,Aceptado,NA,"Junqueras, Romeva"
Elisabet Domingo Allepuz,NA,Testigo,Aceptado,NA,Sánchez
Eloi Hernández i Mosella,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Emili Gaya i Talló,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Emilio Quevedo Malo,"Comisario Jefe, Mossos, Planificación",Testigo,Aceptado,"Fiscalía, Abogacía, Vox","Junqueras, Romeva, Forn"
Enoch Alberti Rovira,Confecció parte del Libro Blanco,Testigo,Aceptado,NA,"Junqueras, Romeva, Cuixart"
Enric Climent Ariño,NA,Testigo,Aceptado,NA,Sánchez
Enric Milló,"ex Delegado del Gobierno, Cataluña",Testigo,Aceptado,"Fiscalía, Abogacía, Vox","Junqueras, Romeva, Forn"
Enric Vidal Famadas,"ERC, coordinador acción política, diseñador gráfico",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Enríe Vinaixa i Bonet,"Generalitat, relaciones laborales, director general",Testigo,Aceptado,NA,Bassa
Enrique Mary Yriarte,"Artiplan, trabajador, Vic",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Ernest Benach i Pascual,"Parlament, ex presidente",Testigo,Aceptado,NA,Forcadell
Ester Raya,Testigo 1-O,Testigo,Aceptado,NA,Cuixart
Ester Sánchez Monpel,Testigo 25-S,Testigo,Aceptado,NA,Cuixart
Eulalia Reguant,"Diputada autonómica, CUP",Testigo,Aceptado,Vox,Cuixart
Felipe Martínez Rico,"ex subscertario, Hacienda",Testigo,Aceptado,Fiscalía,NA
Felipe VI,Rey de España,Testigo,Rechazado,NA,Sánchez
Félix Martí Ambel,"ex director, UNESCO, Cataluña",Testigo,Aceptado,NA,"Junqueras, Romeva"
Felix Van Grundberg,"Alemania, SPD, delegaciones, Diplocat",Testigo,Aceptado,NA,"Junqueras, Romeva, Cuixart"
Ferrán Burriel Alier,"Director, Agencia Nothingad Comunicació SL, Navarra",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Ferran Caballero,Doctor,Perito,Aceptado,NA,"Junqueras, Romeva"
Ferran López,"Mossos, comisario, 20-S, 1-O",Testigo,Aceptado,Vox,"Cuixart, Forn"
Ferran Soler i Jubany,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva, Sánchez, Forn"
Francesc Esteve Balagué,"Generalitat, gabiente jurídico, director",Testigo,Aceptado,NA,Turull
Francesc Ollé y García,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Francesc Sutrias Grau,"Generalitat, Patrimonio, director general",Testigo,Aceptado,Vox,NA
Francesc Xavier Almirall García,NA,Testigo,Aceptado,NA,Sánchez
Francesc-Joaquim García Rabella,NA,Testigo,Aceptado,NA,Sánchez
Francisco Juan Fuentes Ruiz,"Unipost, responsable de reparto, Hospitalet de Llobregat",Testigo,Aceptado,"Fiscalía, Abogacía, Vox",NA
Gabriel Rufián Romero,Testigo 20-S,Testigo,Aceptado,NA,"Junqueras, Romeva"
Gerard Esteva Viladecans,"Unión de Federaciones Deportivas, presidente",Testigo,Rechazado,NA,Sánchez
Gerard Gómez del Moral Fuster,Testigo 20-S,Testigo,Aceptado,NA,"Junqueras, Romeva"
Gerardo Pisarello Prados,"Miembro, pleno o comité ejecutivo, Diplocat",Testigo,Aceptado,NA,"Junqueras, Romeva"
Glorai Segarra Tell,NA,Testigo,Aceptado,NA,Sánchez
Guillem Galceran Galceran,NA,Testigo,Aceptado,NA,Sánchez
Helena Catt,"Portavoz, expertos electorales internacionales",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Hugh Orde,Policía Metropolitana de Londres,Perito,Rechazado,NA,Cuixart
Ignacio Cosidó,"Senador, PP",Testigo,Rechazado,NA,Cuixart
Ignacio Cosidó,NA,Testigo,Rechazado,NA,"Junqueras, Romeva"
Iñigo Urkullu,Presidente Gobierno vasco,Testigo,Aceptado,NA,Rull
Inmaculada Baucells Casanovas,"Generalitat, justicia, jefa de servicio, gestión presupuestaria",Testigo,Aceptado,NA,Mundó
Irineo Alvarado Crosas,"Testigo 1-O, Dosrius",Testigo,Aceptado,NA,Forn
Isaac Peraire Soler,Testigo 20-S,Testigo,Aceptado,NA,"Junqueras, Romeva"
Isabel Aznar i Ballesta,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Isabel Castell Solá,NA,Testigo,Aceptado,NA,Sánchez
Itziar González Virós,"Pacto Nacional por el Referéndum, miembro",Testigo,Aceptado,NA,Cuixart
Ivan Guixens i Guixens,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Ivo Vagl,Parlamento Europeo,Testigo,Aceptado,NA,"Junqueras, Romeva"
J.M. Espejo Saavedra,"Diputado autonómico, Mesa del Parlament, Ciudadanos",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Jacint Borrás Solé,NA,Testigo,Aceptado,NA,Sánchez
Jacint Jordana,"Miembro, pleno o comité ejecutivo, Diplocat",Testigo,Aceptado,NA,"Junqueras, Romeva"
Jaime Alfonsín Alfonso,Jefe de la Casa del Rey,Testigo,Rechazado,NA,Sánchez
Jaume Asens i Llodrá,Testigo 20-S,Testigo,Aceptado,NA,Cuixart
Jaume Estany,"Sistema de Emergencias Médicas (SEM), representante",Testigo,Aceptado,NA,Sánchez
Jaume Guillarnet Lloveras,Doctor en Historia Contemporánea,Perito,Rechazado,NA,Cuixart
Jaume Mestre Anguera,"Generalitat, difusión institucional",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Jaume Pich Maciá,"Abogado, 1-O",Testigo,Aceptado,NA,Cuixart
Javier Pacheco,"CCOO, secretario general, Cataluña",Testigo,Aceptado,NA,"Sánchez, Cuixart"
Jesús Bricolle Ibañez,NA,Testigo,Aceptado,NA,Sánchez
Joan Badía Pujol,Testigo 1-O,Testigo,Aceptado,NA,Cuixart
Joan Cabanes Orriols,NA,Testigo,Aceptado,NA,Sánchez
Joan Figuera López,"Mossos, comisario jefe, jefe de sala central de mando",Testigo,Aceptado,NA,Forn
Joan Ignasi Elena,"Pacto Nacional por el Referendum, portavoz",Testigo,Aceptado,Vox,"Sánchez, Cuixart"
Joan Josep Nuet Pujals,"Parlament, mesa, secretario tercero",Testigo,Aceptado,NA,Forcadell
Joan Lluis Bozzo Duran,NA,Testigo,Rechazado,NA,Sánchez
Joan Manuel Andreu Roman,NA,Testigo,Aceptado,NA,Sánchez
Joan Pau Salvadó Fernández,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Joan Porras Álvarez,NA,Testigo,Aceptado,NA,Sánchez
Joan Portais Peralta,"Mossos, comisario jefe, región metropolitana Barcelona",Testigo,Aceptado,NA,Forn
Joan Rigol Roig,representante de Artur Mas,Testigo,Rechazado,Vox,NA
Joan Tardà,"Diputado, Congreso, ERC",Testigo,Aceptado,Vox,Cuixart
Joan Torres Binefa,NA,Testigo,Aceptado,NA,Sánchez
Joan Turon i Maynat,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Joan Vallvé i Ribera,"Omnium Cultural, vicepresidente",Testigo,Aceptado,NA,Cuixart
Joan Vidal,"Omnium Cultural, gerente, Generalitat, secretario de Gobierno",Testigo,Aceptado,Vox,NA
Joan Vintró Castells,"Confecció parte del Libro Blanco, Consejo Transición",Testigo,Aceptado,NA,"Junqueras, Romeva, Rull"
Joaquim Ayatas i Bartrina,Testigo 20-S,Testigo,Aceptado,NA,"Junqueras, Romeva"
Joaquim Matas i Vives,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Joaquim Nin Borredá,"Generalitat, Presidencia, secretario general",Testigo,Aceptado,NA,Turull
Joaquim Vallés Dalmau,NA,Testigo,Aceptado,NA,Sánchez
Joaquín María Palau Padró,NA,Testigo,Aceptado,NA,Sánchez
Jody Williams,"Premio Nobel de la Paz 1997, Let Catalans Vote",Testigo,Rechazado,NA,Cuixart
John Paul Lederach,"Doctor en Sociología, Notre Dame, EE UU",Perito,Aceptado,NA,Cuixart
Jordi Armadans Gil,En Peu de Pau,Testigo,Aceptado,NA,"Junqueras, Romeva, Cuixart"
Jordi Baiget i Cantons,"Generalitat, ex consejero, Interior",Testigo,Aceptado,Vox,NA
Jordi Borrás,Periodista,Testigo,Rechazado,NA,"Junqueras, Romeva"
Jordi Cuyás Soler,NA,Testigo,Aceptado,NA,Sánchez
Jordi Jané i Guasch,"Generalitat, ex consejero, Interior",Testigo,Aceptado,Vox,Forn
Jordi Jardí Pinyol,"Generalitat, interior, funcionario",Testigo,Rechazado,NA,Forn
Jordi Latorre i Fernández,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Jordi Lleal Giralt,NA,Testigo,Aceptado,NA,Sánchez
Jordi Martínez i Soler,"Parlament, presidencia, comunicación",Testigo,Aceptado,NA,Forcadell
Jordi Mica Fernández,Testigo 1-O,Testigo,Aceptado,NA,Cuixart
Jordi Molinera i Poblet,Testigo 20-S,Testigo,Aceptado,NA,"Junqueras, Romeva"
Jordi Orobitg i Solé,Testigo 20-S,Testigo,Aceptado,NA,"Junqueras, Romeva"
Jordi Palou Loverdos,Autor informe,Testigo,Rechazado,NA,Cuixart
Jordi Pesarrodona Capsada,Testigo 1-O,Testigo,Aceptado,NA,Cuixart
Jordi Puigneró Ferrer,"CESICAT, responsable",Testigo,Aceptado,NA,Turull
Jordi Roca Nicolau,NA,Testigo,Aceptado,NA,Sánchez
