economy,partit,n,p,Muestra
"
Agree or
strongly agree
",ICV-EUiA,4.0732633719999995,6.382515112319413,4.0732633719999995
"
Agree or
strongly agree
",CUP,23.3283218959,10.258481144730629,23.3283218959
"
Agree or
strongly agree
",PACMA,2.37179487,21.116510118480527,2.37179487
"
Agree or
strongly agree
",ERC,156.5444017556,25.766537994903622,156.5444017556
"
Agree or
strongly agree
",Podem(os),104.9003798428,30.663557553467168,104.9003798428
"
Agree or
strongly agree
",PSC,109.6737013983,32.22687903443603,109.6737013983
"
Agree or
strongly agree
","PDCat/CiU/
CDC/Junts",124.2301599426,32.94426134128699,124.2301599426
"
Agree or
strongly agree
",C's,122.2295885244,50.5218187943762,122.2295885244
"
Agree or
strongly agree
",PPC,51.6922423234,62.235832998541895,51.6922423234
"
Neither agree
nor disagree
",C's,18.3896458517,7.601092064765258,18.3896458517
"
Neither agree
nor disagree
",CUP,18.4942080775,8.132710346521014,18.4942080775
"
Neither agree
nor disagree
",PACMA,0.99425287,8.852009528835563,0.99425287
"
Neither agree
nor disagree
",PPC,8.6606436223,10.42714237012997,8.6606436223
"
Neither agree
nor disagree
",Podem(os),38.7492734939,11.326847240361024,38.7492734939
"
Neither agree
nor disagree
",ERC,94.8608076981,15.613682625306039,94.8608076981
"
Neither agree
nor disagree
","PDCat/CiU/
CDC/Junts",63.2392473782,16.770245595886948,63.2392473782
"
Neither agree
nor disagree
",ICV-EUiA,10.8285257433,16.967532636323735,10.8285257433
"
Neither agree
nor disagree
",PSC,61.5389461839,18.082805169243198,61.5389461839
"
Disagree or
strongly disagree
",PPC,22.705763441400002,27.337024631328134,22.705763441400002
"
Disagree or
strongly disagree
",C's,101.3150257935,41.87708914085854,101.3150257935
"
Disagree or
strongly disagree
",PSC,169.1048286497,49.690315796320775,169.1048286497
"
Disagree or
strongly disagree
","PDCat/CiU/
CDC/Junts",189.6225500785,50.285493062826056,189.6225500785
"
Disagree or
strongly disagree
",Podem(os),198.4514862975,58.0095952061718,198.4514862975
"
Disagree or
strongly disagree
",ERC,356.1440149961,58.61977937979034,356.1440149961
"
Disagree or
strongly disagree
",PACMA,7.8658975799999995,70.0314803526839,7.8658975799999995
"
Disagree or
strongly disagree
",ICV-EUiA,48.9173057136,76.64995225135685,48.9173057136
"
Disagree or
strongly disagree
",CUP,185.5826927567,81.60880850874835,185.5826927567
